id,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,valence
P6.21,0.0299576374913009,0.0020045838824845,0.0,0.0,0.0,0.0,0.170356602595522,0.0192419632936295,0.36281224167429,1.36285282076417,18.0018981572897,232.961038567201,neutral
P4.3,-0.0675020665876103,-0.0036982589901808,0.0,0.0,0.0,0.0,0.192232780491164,0.007271539231067,0.520170912974812,2.88349170736746,4.64550674896505,199.374771217865,positive
P14.55,-0.028775344145844,-0.0003978799536323,0.0,0.0,0.0,0.0,0.144674431633094,0.003197089400545,0.460374764049694,1.44674431633094,6.86468433663374,66.3054084779632,positive
P6.13,-0.0190295746078769,-0.0043524568041437,0.0,0.0,0.0,0.0,0.130186558613375,0.0084567335660756,0.987712737610507,2.21317149642738,-1.99810184271028,231.635927456089,positive
P18.116,-0.0194055869717667,0.0433666920540551,0.0047775850770783,0.0047775850770783,0.0047775850770783,0.0047775850770783,0.0169400814431141,0.0007204913337762,0.0551234724004716,0.203280977317369,7.27598156892921,331.07417903463,negative
PS2.12,-0.59589578817199,4.90961502911393,0.0136482046258357,0.0136482046258357,0.0136482046258357,0.0136482046258357,0.211903352126044,0.0536695770688314,0.841146014812413,2.11903352126044,0.795036575711208,140.991856529874,positive
P20.99,0.0012548616698954,-0.0004725581258546,0.0,0.0,0.0,0.0,0.0062058575845746,0.0042861452860311,0.00721587248749,0.0620585758457467,18.8714432686824,798.277912195191,positive
P15.4,0.0575656214237836,0.0026085952704404,0.0,0.0,0.0,0.0,0.259015808271142,0.106853203098044,0.511182788998296,0.777047424813426,0.545124140778483,246.253749904807,positive
NS4.22,0.0382513440077394,-0.0010307230894074,0.0003840591749879,0.0003840591749879,0.0003840591749879,0.0003840591749879,0.0642229391067685,0.0137355501483405,0.494901227345537,0.706452330174453,19.72789563636,688.487126661494,neutral
S9.18,-0.0445749407613361,-0.0061835320597932,0.0,0.0,0.0,0.0,0.335779786704959,0.218662415253101,0.446322564928063,1.00733936011488,0.301179870546477,241.796494060771,positive
