Time, PoorSignal, Attention, Meditation
1538403960.247, 0, 60, 43
1538403961.253, 0, 51, 27
1538403962.246, 0, 51, 38
1538403963.274, 0, 77, 54
1538403964.258, 0, 50, 47
1538403965.246, 0, 64, 50
1538403966.260, 0, 53, 48
1538403967.242, 0, 53, 47
1538403968.258, 0, 67, 61
1538403969.241, 0, 70, 70
1538403970.254, 0, 91, 69
1538403971.261, 0, 84, 70
1538403972.244, 0, 87, 69
1538403973.258, 0, 81, 75
1538403974.257, 0, 69, 74
1538403975.260, 0, 57, 80
1538403976.257, 0, 44, 88
1538403977.239, 0, 50, 81
1538403978.267, 0, 47, 81
1538403979.246, 0, 38, 56
1538403980.259, 0, 34, 38
1538403981.242, 0, 29, 30
1538403982.257, 0, 34, 34
1538403983.255, 0, 43, 43
1538403984.242, 0, 69, 51
1538403985.257, 0, 66, 63
1538403986.267, 0, 64, 61
1538403987.258, 0, 75, 60
1538403988.256, 0, 63, 64
1538403989.247, 0, 60, 53
1538403990.252, 0, 47, 47
1538403991.278, 0, 40, 48
1538403992.257, 0, 43, 35
1538403993.275, 0, 48, 50
1538403994.257, 0, 54, 48
1538403995.256, 0, 51, 53
1538403996.273, 0, 44, 77
1538403997.254, 0, 50, 75
1538403998.278, 0, 48, 74
1538403999.238, 0, 50, 70
1538404000.261, 0, 48, 60
1538404001.238, 0, 48, 54
1538404002.245, 0, 56, 66
1538404003.258, 0, 60, 69
1538404004.255, 0, 56, 56
1538404005.257, 0, 48, 51
1538404006.242, 0, 40, 44
1538404007.253, 0, 37, 44
1538404008.267, 0, 53, 54
1538404009.246, 0, 57, 43
1538404010.275, 0, 74, 48
1538404011.242, 0, 74, 44
1538404012.256, 0, 69, 47
1538404013.238, 25, 69, 47
1538404014.257, 0, 66, 61
1538404015.260, 0, 61, 70
1538404016.244, 25, 61, 70
1538404017.261, 0, 56, 66
1538404018.243, 0, 56, 51
1538404019.253, 0, 61, 47
1538404020.270, 0, 54, 34
1538404021.277, 26, 54, 34
1538404022.261, 0, 63, 27
1538404023.275, 0, 64, 48
1538404024.259, 0, 67, 50
1538404025.260, 0, 78, 44
1538404026.258, 0, 77, 51
1538404027.258, 0, 69, 41
1538404028.243, 0, 63, 43
1538404029.261, 0, 51, 47
1538404030.244, 0, 48, 29
1538404031.242, 0, 44, 34
1538404032.256, 0, 38, 40
1538404033.247, 0, 51, 54
1538404034.260, 0, 57, 69
1538404035.275, 0, 60, 67
1538404036.273, 0, 67, 67
1538404037.273, 0, 60, 67
1538404038.247, 0, 54, 77
1538404039.255, 0, 53, 75
1538404040.247, 0, 60, 74
1538404041.262, 0, 56, 75
1538404042.243, 26, 56, 75
1538404043.261, 0, 41, 80
1538404044.252, 26, 41, 80
1538404045.272, 0, 44, 83
1538404046.253, 0, 44, 81
1538404047.272, 0, 48, 77
1538404048.238, 0, 60, 75
1538404049.256, 0, 60, 74
1538404050.238, 0, 56, 83
1538404051.272, 0, 53, 75
1538404052.242, 0, 64, 78
1538404053.242, 0, 70, 80
1538404054.256, 0, 54, 61
1538404055.292, 0, 80, 56
1538404056.254, 0, 81, 47
1538404057.267, 0, 63, 48
1538404058.249, 0, 77, 61
1538404059.259, 0, 50, 70
1538404060.242, 0, 43, 75
1538404061.246, 0, 53, 66
1538404062.260, 26, 53, 66
1538404063.245, 0, 50, 56
1538404064.258, 26, 50, 56
1538404065.246, 0, 61, 53
1538404066.270, 0, 57, 51
1538404067.267, 0, 57, 74
1538404068.258, 0, 66, 75
1538404069.259, 0, 61, 83
1538404070.243, 0, 64, 75
1538404071.259, 0, 61, 41
1538404072.244, 0, 43, 29
1538404073.243, 0, 51, 23
1538404074.255, 0, 53, 37
1538404075.256, 0, 61, 57
1538404076.253, 0, 64, 67
1538404077.253, 0, 61, 83
1538404078.256, 0, 67, 77
1538404079.276, 0, 60, 74
1538404080.260, 0, 51, 78
