id,alpha_bin,beta_bin,gamma_bin,delta_bin,theta_bin,alpha_beta,alpha_gamma,alpha_delta,alpha_theta,beta_alpha,beta_gamma,beta_delta,beta_theta,gamma_alpha,gamma_beta,gamma_delta,gamma_theta,delta_alpha,delta_beta,delta_gamma,delta_theta,theta_alpha,theta_beta,theta_gamma,theta_delta,min_att,max_att,mean_att_difference,sd_att_difference,min_med,max_med,mean_med_difference,sd_med_difference,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_temp,mean_temp_difference,max_temp,max_temp_difference,min_temp,min_temp_difference,difference_BVPpeaks_ampl,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,arousal
1.1,0.446908637892778,0.18933955034956,0.199078859351785,1.9137720809292,0.57718839978774,2.24184665397885,2.13751131984455,0.405772545632216,0.774389609297956,0.446040943135409,0.953417010553059,0.170991068952194,0.345409471685520,0.46783356065283,1.04885788592462,0.17983401483833,0.362185448250416,2.46443484351878,5.52513145137805,5.26775984184201,1.90843273561355,1.29133964091611,2.8951045879204,2.76025439285318,0.522990163370458,57,81,-27.4333333333333,1.87019047804948,48,77,-10.5666666666667,1.43078904277522,3.21573131608454,324.767920432699,0,0,0,0,30.854,-0.0339999999999989,30.87,0.0189999999999996,30.83,-0.0799999999999983,-2.76860451960758,3.84802650682041,0.321030708761685,9.599320460633,34.6321385613936,-3.70166666666665,0.1955991854022,low
1.2,0.380301135480163,0.146596560464396,0.217137590411677,1.21474968943538,0.618761398755771,2.59419298999803,1.674319999398,0.39513436958277,0.613625227460169,0.385474846746962,0.645408627421926,0.109695109524364,0.226537094370031,0.597257040529714,1.54940600033956,0.175456336402410,0.366491893318810,3.20947254958041,8.35455951632808,5.3929479080175,1.97616322297027,1.62965916787059,4.2176667109096,2.72857256973516,0.50603972291096,30,60,-3.53333333333333,0.00770227756462677,26,84,-1.66666666666666,-6.2800939918527,15.4166330616593,414.39179485757,0,0,0,0,31.016,-0.186000000000002,31.03,-0.140000000000001,31.01,-0.260000000000002,-13.59875634711,9.7699569542017,2.89297028371869,21.3146067366710,43.0798278168510,-24.3366666666667,-1.97751685822755,low
1.3,0.45971832086799,0.162637788932292,0.17244419044071,1.13843182498917,0.539477039638743,2.82659419799112,2.51873497149445,0.40389734841407,0.852041879025911,0.353782653757955,0.89143852498193,0.142861133388143,0.301473050717343,0.396867135358646,1.11168224614682,0.160259199563579,0.338177146134861,2.47640766754936,6.99979956971907,6.2298990360101,2.1825093070045,1.16351336351614,3.31604607631403,2.9569426614677,0.473877293667665,29,66,-2.93333333333334,-3.05043460918081,41,74,-1.46666666666666,-0.53628916289189,37.9578675796808,335.141822930344,0,0,0,0,30.986,-0.165999999999997,31.01,-0.110000000000001,30.97,-0.208999999999999,-6.66059273432558,7.6006596420334,2.04493243911139,13.5219098883078,38.00329829667,5.29133333333334,0.116798697317006,high
1.4,0.583387351064537,0.175611784256248,0.19599160866538,1.45375969541093,0.775288477087983,3.14303262676066,2.8319927979133,0.401185587575932,0.752477778795017,0.317164053241357,0.9097011348141,0.11667783069931,0.229410380075476,0.353095774624161,1.9979144001407,0.141695776348382,0.26569672418995,2.49182871927476,7.83210327138549,7.05737337958007,1.87511098834786,1.32894289795687,4.166998873803,3.76368960906262,0.53329892990465,37,75,-12.8333333333333,-2.49057096149969,40,61,-1.86666666666667,2.88576830742548,-131.210605181632,2493.21070487244,21.4442089703208,39.3719788417331,30.9081494060775,61.816298811145,30.89,-0.0700000000000003,30.91,-0.0189999999999996,30.85,-0.90000000000001,-6.68288943793816,15.3772859751628,15.1305840567342,15.6229878935914,32.7545718503255,14.1422333333333,0.175484252873563,low
1.5,0.49949769788112,0.167489201602588,0.220562132032913,0.858900293678501,0.584048247616579,2.98216787149222,2.16643330192068,0.581454927338504,0.855223620399605,0.335314284560964,0.726438189149782,0.185004255948341,0.286772905114711,0.461488167705147,1.37657959217694,0.268438879145635,0.394765728814026,1.71852803250506,5.1170931956421,3.72524279337895,1.47059817633744,1.16927104998529,3.48707978378094,2.53314795842043,0.679995398668703,26,44,7.46666666666667,3.2864373022644,22,60,4.53333333333334,-0.53628916289189,90.8446488658561,431.296892940881,0,0,0,0,30.634,0.176,30.65,0.240000000000002,30.61,0.140000000000001,-7.36631953985168,9.5962276866526,6.42697526519935,14.5590579457079,31.7887130599579,9.7443333333333,0.146185363984674,high
1.6,0.41051066195103,0.170661626272925,0.250038778816255,0.262932436135228,0.538291677179022,2.27780337496498,1.64579136084142,1.5650851898487,0.764476961075326,0.439018456635661,0.721534428972163,0.687928501686,0.33561926095673,0.60769432046325,1.38401609302961,0.950961989316545,0.464504166753294,0.638942854801834,1.4553861897761,1.05146663050438,0.48845709190367,1.30808389367624,2.97955790775307,2.14283316146816,2.04726273068932,9,56,9.5666666666667,-7.78735817658339,15,53,17.6333333333333,0.0266974277280809,132.792476806635,342.241681996226,7.560998194434,7.560998194434,7.560998194434,7.560998194434,30.43,0.390000000000001,30.45,0.440000000000001,30.41,0.34,-7.44213006329809,8.46098108641913,4.8306082680443,11.1733533617766,33.8439247456805,-7.27166666666666,-0.000466858227549467,low
2.1,0.50609458311193,0.16132929916489,0.206693887650145,1.26697181673224,0.655906810831167,3.1371791400893,2.32479922338671,0.399451991961933,0.771495254071169,0.317756681648954,0.7494528913438,0.116328022343426,0.245951042763839,0.430144670403742,1.34944517865791,0.16172107848298,0.331797586247578,2.50342911161882,7.85373065364272,5.8189709301121,1.93163402921282,1.29601626594188,4.06584814489217,3.01187762041763,0.516696408776948,27,69,-6,-0.45009067073913,38,63,4,1.61846354602957,-9.3873728458351,190.866333321044,0,0,0,0,31.402,0.573999999999998,31.43,0.57,31.37,0.579999999999998,4.73318490584585,1.43144843509834,-0.00170755833034335,3.05041095326410,11.883035914885,-1.77189999999999,4.95148559386974,high
2.2,0.403833028706975,0.146605199828447,0.243586345165597,1.00422339490939,0.62081161166962,2.57866917443743,1.6578639841795,0.40203065085673,0.649340366284762,0.387796932632971,0.642914567791366,0.14594503291894,0.251711192180001,0.603175791699971,1.55541661380508,0.242559495044054,0.391672882985147,2.4867539887087,6.411487996,4.11269987541875,1.6147497458882,1.54002438770526,3.97111343175767,2.55314096714004,0.61829909363143,50,81,-19.2,3.09614941479771,43,57,5.7,5.58722146284631,15.9199624363635,456.267470932855,0,0,0,0,31.246,0.73,31.27,0.73,31.22,0.718999999999999,2.46377551497496,1.3942909952403,0.308711784422391,3.79147989325445,12.942909952403,-2.38499999999999,4.76191459386974,high
2.3,0.318990529624324,0.147991395591136,0.188709252159172,1.02482782865453,0.539354616086857,2.02536681460946,1.6934539653418,0.311228329870913,0.593284111478359,0.493737722353004,0.795088269896782,0.144163842034009,0.292926751489586,0.619984791307638,1.25772088869167,0.183895254103134,0.368419416424473,3.19268164766828,6.48660532948276,5.14742280892069,1.9009021736042,1.68553305849416,3.41382172060117,2.71429040145218,0.526288027116431,27,44,4.59999999999999,7.95559556255495,27,78,4,-7.06770703719249,28.305846710848,483.789597634499,3.50817935065413,3.50817935065413,3.50817935065413,3.50817935065413,31.596,0.379999999999999,31.61,0.390000000000001,31.57,0.379999999999999,9.8467111464844,0.800509708690177,-0.130665432037029,2.2921257178401,10.1971359206626,-3.74799999999999,5.0955448275863,high
2.4,0.316900309731086,0.147793000977332,0.209104344814456,0.82182937638614,0.578272071477926,2.01466673275866,1.44425075974814,0.386350207957172,0.549741661303348,0.49636009179224,0.716868320724397,0.181668798617189,0.272869776605976,0.692400535883662,1.39495632538908,0.267509098644722,0.380641419884013,2.58832516993429,5.20461163357518,3.73818060759535,1.421991744936,1.81803622162594,3.66475168164093,2.62714445967959,0.702785046417364,29,56,-3.7,6.29303409274364,12,63,11,-6.34839814076543,40.2755420897453,251.288263722756,2.75930982579595,2.75930982579595,2.75930982579595,2.75930982579595,31.52,0.455999999999996,31.53,0.469999999999999,31.51,0.439999999999998,-2.47064244630652,1.536252198828,0.539395510657738,2.572826826568,18.9711688988476,-2.133,5.04386003831417,high
