Time, PoorSignal, Attention, Meditation
1544710855.703, 0, 90, 81
1544710856.668, 0, 91, 69
1544710857.690, 0, 81, 56
1544710858.660, 0, 88, 66
1544710859.672, 0, 74, 60
1544710860.659, 0, 48, 57
1544710861.669, 0, 30, 54
1544710862.670, 0, 41, 54
1544710863.663, 0, 48, 53
1544710864.675, 0, 30, 44
1544710865.657, 0, 53, 43
1544710866.690, 0, 35, 51
1544710867.677, 0, 34, 51
1544710868.676, 0, 75, 54
1544710869.674, 0, 93, 56
1544710870.657, 0, 94, 37
1544710871.674, 0, 100, 43
1544710872.658, 0, 91, 51
1544710873.662, 0, 64, 63
1544710874.677, 0, 74, 63
1544710875.660, 0, 78, 64
1544710876.672, 0, 60, 66
1544710877.688, 0, 87, 48
1544710878.668, 0, 81, 64
1544710879.693, 0, 80, 69
1544710880.674, 0, 83, 63
1544710881.687, 0, 63, 78
1544710882.660, 0, 54, 60
1544710883.678, 0, 40, 50
1544710884.672, 0, 41, 47
1544710885.663, 0, 41, 51
1544710886.669, 0, 44, 48
1544710887.685, 0, 61, 51
1544710888.674, 0, 80, 50
1544710889.688, 0, 83, 47
1544710890.674, 0, 90, 75
1544710891.678, 0, 74, 77
1544710892.670, 0, 63, 96
1544710893.670, 0, 47, 100
1544710894.659, 0, 37, 87
1544710895.675, 0, 43, 81
1544710896.688, 0, 34, 77
1544710897.662, 0, 35, 69
1544710898.678, 0, 40, 61
1544710899.689, 0, 24, 44
1544710900.674, 0, 53, 38
1544710901.693, 0, 83, 34
1544710902.675, 0, 78, 37
1544710903.678, 0, 87, 48
1544710904.675, 0, 47, 40
1544710905.662, 0, 34, 35
1544710906.688, 0, 38, 41
1544710907.675, 0, 50, 43
1544710908.688, 0, 77, 61
1544710909.654, 0, 60, 80
1544710910.673, 0, 47, 63
1544710911.703, 0, 40, 60
1544710912.691, 0, 40, 48
1544710913.669, 0, 43, 30
1544710914.658, 0, 50, 40
1544710915.668, 0, 61, 41
1544710916.675, 0, 75, 43
1544710917.671, 0, 91, 44
1544710918.677, 0, 100, 60
1544710919.658, 0, 93, 66
1544710920.671, 0, 91, 69
1544710921.654, 0, 77, 66
1544710922.673, 0, 75, 64
1544710923.687, 0, 93, 66
1544710924.662, 0, 78, 69
1544710925.673, 0, 87, 78
1544710926.689, 0, 70, 64
1544710927.669, 0, 66, 67
1544710928.689, 0, 77, 70
1544710929.662, 0, 94, 75
