Time, PoorSignal, Attention, Meditation
1536070970.222, 0, 70, 63
1536070971.208, 0, 61, 50
1536070972.201, 0, 81, 64
1536070973.188, 0, 77, 60
1536070974.191, 0, 80, 60
1536070975.216, 0, 90, 69
1536070976.193, 0, 81, 74
1536070977.198, 0, 84, 78
1536070978.184, 0, 84, 70
1536070979.192, 0, 93, 69
1536070980.191, 0, 100, 60
1536070981.189, 0, 93, 54
1536070982.208, 0, 88, 61
1536070983.183, 0, 69, 50
1536070984.201, 0, 41, 48
1536070985.206, 0, 56, 63
1536070986.204, 0, 57, 56
1536070987.209, 0, 57, 50
1536070988.191, 0, 78, 51
1536070989.208, 0, 61, 21
1536070990.193, 0, 60, 26
1536070991.185, 0, 57, 43
1536070992.174, 0, 64, 38
1536070993.188, 0, 80, 50
1536070994.190, 0, 80, 60
1536070995.190, 0, 90, 57
1536070996.191, 0, 78, 63
1536070997.199, 0, 78, 78
1536070998.193, 0, 67, 63
1536070999.199, 0, 66, 57
1536071000.194, 0, 69, 53
1536071001.204, 0, 64, 44
1536071002.191, 0, 70, 40
1536071003.186, 0, 66, 43
1536071004.192, 0, 74, 44
1536071005.189, 0, 75, 48
1536071006.206, 0, 74, 61
1536071007.203, 0, 83, 64
1536071008.206, 0, 77, 77
1536071009.200, 0, 67, 69
1536071010.194, 0, 67, 63
1536071011.201, 0, 61, 63
1536071012.193, 0, 67, 57
1536071013.190, 0, 78, 63
1536071014.200, 0, 87, 63
1536071015.190, 0, 84, 57
1536071016.203, 0, 77, 38
1536071017.204, 0, 67, 38
1536071018.191, 0, 57, 44
1536071019.199, 0, 60, 60
1536071020.189, 0, 70, 74
1536071021.202, 0, 81, 75
1536071022.187, 0, 63, 66
1536071023.193, 0, 61, 60
1536071024.177, 0, 48, 60
1536071025.204, 0, 27, 53
1536071026.199, 0, 54, 57
1536071027.188, 0, 63, 56
1536071028.191, 0, 75, 66
1536071029.205, 0, 84, 74
1536071030.192, 0, 81, 80
1536071031.206, 0, 83, 80
1536071032.192, 0, 77, 70
1536071033.201, 0, 87, 61
1536071034.186, 0, 78, 54
1536071035.192, 0, 69, 61
1536071036.207, 0, 77, 64
1536071037.193, 0, 67, 78
1536071038.206, 0, 75, 81
1536071039.193, 0, 80, 84
1536071040.200, 0, 74, 70
1536071041.206, 0, 81, 69
1536071042.200, 0, 87, 78
1536071043.208, 0, 90, 67
1536071044.192, 0, 91, 77
1536071045.206, 0, 78, 69
1536071046.214, 0, 84, 41
1536071047.192, 0, 69, 38
1536071048.206, 0, 63, 35
1536071049.206, 0, 78, 37
1536071050.192, 0, 61, 48
1536071051.193, 0, 77, 48
1536071052.194, 0, 77, 44
1536071053.207, 0, 69, 38
1536071054.185, 0, 74, 43
1536071055.205, 0, 69, 38
1536071056.184, 0, 83, 53
1536071057.208, 0, 75, 64
1536071058.199, 0, 77, 70
1536071059.220, 0, 75, 83
1536071060.198, 0, 53, 63
1536071061.176, 0, 60, 53
1536071062.204, 0, 66, 47
1536071063.185, 0, 69, 48
1536071064.186, 0, 80, 50
1536071065.192, 0, 83, 56
1536071066.184, 0, 74, 48
1536071067.191, 0, 70, 57
1536071068.205, 0, 66, 61
1536071069.188, 0, 69, 60
1536071070.205, 0, 83, 67
1536071071.177, 0, 78, 60
1536071072.201, 0, 84, 69
1536071073.183, 0, 75, 60
1536071074.192, 0, 67, 54
1536071075.201, 0, 75, 44
1536071076.184, 0, 83, 44
1536071077.203, 0, 87, 56
1536071078.218, 0, 84, 66
1536071079.204, 0, 84, 69
1536071080.205, 0, 74, 74
1536071081.201, 0, 63, 56
1536071082.203, 0, 64, 44
1536071083.186, 0, 57, 53
1536071084.188, 0, 64, 40
1536071085.209, 0, 81, 51
1536071086.189, 0, 81, 63
1536071087.203, 0, 78, 54
1536071088.189, 0, 75, 75
1536071089.220, 0, 63, 75
1536071090.205, 0, 51, 75
1536071091.185, 0, 53, 74
1536071092.204, 0, 56, 67
1536071093.183, 0, 64, 80
1536071094.187, 0, 84, 77
1536071095.193, 0, 93, 83
1536071096.193, 0, 100, 77
1536071097.198, 0, 100, 69
1536071098.188, 0, 93, 60
1536071099.203, 0, 91, 54
1536071100.211, 0, 84, 56
1536071101.206, 0, 70, 57
1536071102.202, 0, 80, 74
1536071103.186, 0, 69, 75
1536071104.187, 0, 57, 66
1536071105.191, 0, 53, 56
1536071106.186, 0, 41, 38
1536071107.199, 0, 51, 37
1536071108.204, 0, 64, 47
1536071109.204, 0, 80, 51
1536071110.189, 0, 77, 54
1536071111.207, 0, 78, 48
1536071112.192, 0, 75, 48
1536071113.205, 0, 70, 43
1536071114.202, 0, 66, 40
1536071115.206, 0, 53, 43
1536071116.190, 0, 44, 43
1536071117.203, 0, 43, 54
1536071118.187, 0, 56, 63
1536071119.214, 0, 56, 70
1536071120.177, 0, 57, 81
1536071121.193, 0, 61, 78
1536071122.181, 0, 69, 84
1536071123.192, 0, 80, 83
1536071124.175, 0, 87, 74
1536071125.191, 0, 84, 77
1536071126.204, 0, 78, 75
1536071127.185, 0, 75, 75
1536071128.205, 0, 63, 60
1536071129.203, 0, 57, 48
1536071130.203, 0, 50, 37
1536071131.198, 0, 56, 38
1536071132.184, 0, 63, 51
1536071133.193, 0, 64, 51
1536071134.176, 0, 77, 60
1536071135.185, 0, 69, 63
1536071136.205, 0, 84, 63
1536071137.187, 0, 83, 70
1536071138.192, 0, 83, 80
1536071139.218, 0, 90, 67
1536071140.203, 0, 78, 74
1536071141.206, 0, 83, 80
1536071142.194, 0, 84, 80
1536071143.203, 0, 78, 84
1536071144.176, 0, 87, 77
1536071145.201, 0, 84, 63
1536071146.206, 0, 84, 54
1536071147.191, 0, 93, 56
1536071148.205, 0, 81, 47
1536071149.222, 0, 88, 54
1536071150.204, 0, 81, 60
1536071151.204, 0, 70, 60
1536071152.186, 0, 77, 67
1536071153.203, 0, 78, 57
1536071154.191, 0, 84, 60
1536071155.188, 0, 81, 70
1536071156.184, 0, 87, 75
1536071157.188, 0, 80, 77
1536071158.192, 0, 74, 66
1536071159.188, 0, 87, 50
1536071160.205, 0, 83, 50
1536071161.201, 0, 83, 44
1536071162.187, 0, 77, 43
1536071163.199, 0, 74, 50
1536071164.187, 0, 66, 51
1536071165.190, 0, 63, 56
1536071166.179, 0, 63, 61
1536071167.187, 0, 64, 60
1536071168.199, 0, 67, 54
1536071169.187, 0, 57, 47
1536071170.203, 0, 69, 54
1536071171.187, 0, 60, 60
1536071172.204, 0, 60, 60
1536071173.202, 0, 69, 61
1536071174.183, 0, 54, 50
1536071175.223, 0, 66, 48
1536071176.178, 0, 66, 54
1536071177.214, 0, 80, 61
1536071178.205, 0, 90, 60
1536071179.192, 0, 91, 63
1536071180.202, 0, 90, 67
1536071181.188, 0, 74, 78
1536071182.193, 0, 80, 84
1536071183.175, 0, 64, 78
1536071184.193, 0, 61, 80
1536071185.205, 0, 77, 75
1536071186.206, 0, 66, 60
1536071187.201, 0, 67, 60
1536071188.208, 0, 84, 48
1536071189.191, 0, 80, 50
1536071190.204, 0, 90, 60
1536071191.195, 0, 90, 48
1536071192.218, 0, 84, 54
1536071193.190, 0, 83, 50
1536071194.188, 0, 67, 41
1536071195.187, 0, 64, 44
1536071196.191, 0, 57, 34
1536071197.207, 0, 38, 30
1536071198.194, 0, 44, 43
1536071199.205, 0, 51, 54
1536071200.202, 0, 53, 67
1536071201.200, 0, 67, 66
1536071202.205, 0, 84, 60
1536071203.192, 0, 84, 56
1536071204.190, 0, 78, 56
1536071205.193, 0, 81, 69
1536071206.186, 0, 53, 75
1536071207.206, 0, 54, 66
1536071208.186, 0, 48, 56
1536071209.204, 0, 35, 44
1536071210.208, 0, 40, 47
1536071211.188, 0, 35, 57
1536071212.204, 0, 26, 56
1536071213.189, 0, 37, 61
1536071214.207, 0, 44, 63
1536071215.178, 0, 47, 56
1536071216.201, 0, 53, 75
1536071217.192, 0, 44, 66
1536071218.220, 0, 47, 69
1536071219.193, 0, 47, 60
1536071220.178, 0, 51, 47
1536071221.191, 0, 61, 56
1536071222.219, 0, 60, 51
1536071223.188, 0, 64, 61
1536071224.203, 0, 67, 64
1536071225.191, 0, 54, 64
1536071226.188, 0, 48, 70
1536071227.188, 0, 48, 77
1536071228.185, 0, 56, 80
1536071229.199, 0, 61, 75
1536071230.184, 0, 63, 56
1536071231.200, 0, 57, 50
1536071232.174, 0, 51, 50
1536071233.190, 0, 54, 43
1536071234.199, 0, 53, 51
1536071235.191, 0, 63, 61
1536071236.186, 0, 57, 47
1536071237.187, 0, 57, 54
1536071238.193, 0, 56, 74
1536071239.208, 0, 48, 80
1536071240.203, 0, 57, 81
1536071241.204, 0, 56, 67
1536071242.190, 0, 53, 53
1536071243.198, 0, 63, 38
1536071244.206, 0, 53, 47
1536071245.188, 0, 51, 63
1536071246.210, 0, 64, 60
1536071247.194, 0, 61, 66
1536071248.207, 0, 66, 67
1536071249.198, 0, 66, 63
1536071250.186, 0, 63, 56
1536071251.204, 0, 54, 47
1536071252.192, 0, 47, 34
1536071253.203, 0, 56, 41
1536071254.193, 0, 53, 50
1536071255.190, 0, 54, 61
1536071256.190, 0, 64, 78
1536071257.184, 0, 53, 70
1536071258.205, 0, 50, 67
1536071259.209, 0, 61, 61
1536071260.186, 0, 60, 54
1536071261.201, 0, 66, 61
1536071262.186, 0, 63, 64
1536071263.219, 0, 48, 63
1536071264.192, 0, 38, 53
1536071265.184, 0, 51, 53
1536071266.176, 0, 61, 40
1536071267.186, 0, 63, 48
1536071268.193, 0, 64, 64
1536071269.186, 0, 54, 63
1536071270.186, 0, 50, 77
1536071271.204, 0, 48, 74
1536071272.184, 0, 54, 66
1536071273.202, 0, 54, 64
1536071274.206, 0, 54, 51
1536071275.193, 0, 56, 41
1536071276.176, 0, 47, 34
1536071277.192, 0, 38, 34
1536071278.224, 0, 43, 34
1536071279.190, 0, 48, 44
1536071280.188, 0, 60, 50
1536071281.208, 0, 70, 47
1536071282.204, 0, 69, 57
1536071283.204, 0, 63, 63
1536071284.184, 0, 60, 48
1536071285.198, 0, 51, 51
1536071286.185, 0, 50, 57
1536071287.190, 0, 56, 50
1536071288.206, 0, 60, 64
1536071289.205, 0, 50, 57
1536071290.208, 0, 44, 44
1536071291.194, 0, 44, 53
1536071292.189, 0, 43, 51
1536071293.216, 0, 56, 56
1536071294.192, 0, 61, 57
1536071295.205, 0, 61, 51
1536071296.193, 0, 60, 53
1536071297.184, 0, 54, 54
1536071298.192, 0, 57, 69
1536071299.200, 0, 50, 84
1536071300.192, 0, 44, 93
1536071301.192, 0, 47, 81
1536071302.205, 0, 47, 69
1536071303.192, 0, 43, 56
1536071304.199, 0, 54, 51
1536071305.205, 0, 57, 60
1536071306.188, 0, 50, 57
1536071307.187, 0, 61, 60
1536071308.192, 0, 51, 50
1536071309.205, 0, 54, 48
1536071310.205, 0, 66, 48
1536071311.187, 0, 61, 51
1536071312.201, 0, 66, 63
1536071313.186, 0, 56, 69
1536071314.205, 0, 56, 74
1536071315.188, 0, 56, 70
1536071316.193, 0, 60, 69
1536071317.205, 0, 69, 57
1536071318.183, 0, 64, 63
1536071319.203, 0, 61, 54
1536071320.202, 0, 56, 51
1536071321.187, 0, 56, 60
1536071322.201, 0, 60, 48
1536071323.184, 0, 63, 64
1536071324.203, 0, 67, 67
1536071325.175, 0, 60, 47
1536071326.188, 0, 53, 40
1536071327.193, 0, 56, 38
1536071328.185, 0, 47, 30
1536071329.188, 0, 43, 50
1536071330.206, 0, 43, 64
1536071331.190, 0, 30, 56
1536071332.208, 0, 43, 70
1536071333.189, 0, 51, 67
1536071334.220, 0, 64, 54
1536071335.187, 0, 70, 56
1536071336.193, 0, 66, 50
1536071337.208, 0, 67, 54
1536071338.192, 0, 61, 51
1536071339.204, 0, 69, 51
1536071340.191, 0, 67, 41
1536071341.192, 0, 70, 51
1536071342.206, 0, 61, 53
1536071343.190, 0, 50, 53
1536071344.205, 0, 67, 57
1536071345.191, 0, 64, 51
1536071346.203, 0, 77, 61
1536071347.191, 0, 81, 54
1536071348.184, 0, 61, 66
1536071349.205, 0, 61, 57
1536071350.190, 0, 60, 47
1536071351.206, 0, 61, 61
1536071352.173, 0, 61, 44
1536071353.187, 0, 53, 44
1536071354.200, 0, 54, 51
1536071355.191, 0, 47, 37
1536071356.205, 0, 47, 51
1536071357.192, 0, 56, 53
1536071358.187, 0, 47, 61
1536071359.199, 0, 47, 70
1536071360.207, 0, 47, 70
1536071361.191, 0, 34, 77
1536071362.192, 0, 24, 67
1536071363.209, 0, 27, 64
1536071364.189, 0, 29, 47
1536071365.186, 0, 37, 34
1536071366.221, 0, 51, 30
1536071367.177, 0, 60, 38
1536071368.192, 0, 56, 40
1536071369.200, 0, 61, 61
1536071370.184, 0, 54, 74
1536071371.199, 0, 50, 67
1536071372.188, 0, 54, 74
1536071373.191, 0, 43, 56
1536071374.172, 0, 51, 48
1536071375.204, 0, 51, 43
1536071376.175, 0, 47, 44
1536071377.184, 0, 56, 54
1536071378.191, 0, 53, 51
1536071379.184, 0, 48, 50
1536071380.188, 0, 43, 37
1536071381.204, 0, 38, 38
1536071382.189, 0, 44, 50
1536071383.199, 0, 41, 43
1536071384.184, 0, 50, 57
1536071385.203, 0, 48, 60
1536071386.192, 0, 35, 43
1536071387.191, 0, 38, 50
1536071388.188, 0, 44, 38
1536071389.193, 0, 56, 24
1536071390.199, 0, 66, 37
1536071391.205, 0, 75, 51
1536071392.204, 0, 70, 56
1536071393.198, 0, 67, 64
1536071394.194, 0, 64, 80
1536071395.208, 0, 61, 69
1536071396.176, 0, 63, 75
1536071397.186, 0, 56, 78
1536071398.186, 0, 54, 69
1536071399.191, 0, 53, 56
1536071400.188, 0, 51, 40
1536071401.211, 0, 53, 30
1536071402.206, 0, 63, 27
1536071403.200, 0, 53, 37
1536071404.191, 0, 60, 47
1536071405.204, 0, 57, 54
1536071406.185, 0, 38, 56
1536071407.185, 0, 50, 44
1536071408.189, 0, 40, 43
1536071409.186, 0, 37, 35
1536071410.198, 0, 51, 26
1536071411.184, 0, 53, 50
1536071412.187, 0, 44, 51
1536071413.202, 0, 56, 60
1536071414.186, 0, 53, 70
1536071415.203, 0, 50, 56
1536071416.185, 0, 54, 54
1536071417.191, 0, 48, 43
1536071418.191, 0, 41, 37
1536071419.188, 0, 38, 34
1536071420.199, 0, 41, 48
1536071421.184, 0, 30, 35
1536071422.215, 0, 40, 35
1536071423.172, 0, 50, 41
1536071424.191, 0, 54, 35
1536071425.199, 0, 64, 63
1536071426.191, 0, 57, 64
1536071427.202, 0, 53, 66
1536071428.178, 0, 44, 60
1536071429.194, 0, 41, 53
1536071430.205, 0, 50, 48
1536071431.191, 0, 38, 51
1536071432.198, 0, 48, 60
1536071433.187, 0, 53, 60
1536071434.190, 0, 48, 64
1536071435.192, 0, 44, 56
1536071436.191, 0, 40, 63
1536071437.219, 0, 29, 54
1536071438.188, 0, 30, 56
1536071439.185, 0, 47, 54
1536071440.177, 0, 57, 54
1536071441.203, 0, 74, 54
1536071442.205, 0, 75, 63
1536071443.183, 0, 61, 77
1536071444.191, 0, 53, 63
1536071445.176, 0, 44, 67
1536071446.188, 0, 51, 64
1536071447.172, 0, 64, 61
1536071448.202, 0, 60, 69
1536071449.205, 0, 57, 64
1536071450.192, 0, 53, 56
1536071451.193, 0, 43, 56
1536071452.215, 0, 41, 57
1536071453.184, 0, 43, 61
1536071454.207, 0, 34, 48
1536071455.174, 0, 40, 53
1536071456.208, 0, 51, 40
1536071457.190, 0, 48, 37
1536071458.185, 0, 63, 44
1536071459.191, 0, 63, 41
1536071460.189, 0, 54, 57
1536071461.191, 0, 56, 48
1536071462.200, 0, 51, 44
1536071463.199, 0, 57, 44
1536071464.201, 0, 54, 30
1536071465.207, 0, 56, 40
1536071466.203, 0, 53, 40
1536071467.190, 0, 44, 30
1536071468.185, 0, 50, 29
1536071469.191, 0, 47, 17
1536071470.185, 0, 40, 38
1536071471.190, 0, 40, 47
1536071472.190, 0, 41, 53
1536071473.204, 0, 50, 74
1536071474.204, 0, 56, 64
1536071475.188, 0, 61, 67
1536071476.199, 0, 60, 48
1536071477.184, 0, 56, 40
1536071478.206, 0, 53, 30
1536071479.177, 0, 51, 34
1536071480.192, 0, 47, 56
1536071481.193, 0, 54, 64
1536071482.189, 0, 48, 60
1536071483.191, 0, 44, 53
1536071484.178, 0, 53, 43
1536071485.205, 0, 43, 30
1536071486.207, 0, 54, 41
1536071487.193, 0, 54, 50
1536071488.185, 0, 50, 41
1536071489.186, 0, 50, 44
1536071490.190, 0, 47, 41
1536071491.206, 0, 57, 34
1536071492.189, 0, 56, 50
1536071493.206, 0, 53, 54
1536071494.174, 0, 50, 67
1536071495.204, 0, 48, 69
1536071496.172, 0, 56, 69
1536071497.223, 0, 64, 74
1536071498.206, 0, 64, 64
1536071499.192, 0, 51, 54
1536071500.186, 0, 48, 50
1536071501.198, 0, 44, 47
1536071502.184, 0, 57, 47
1536071503.190, 0, 60, 66
1536071504.193, 0, 60, 75
1536071505.207, 0, 56, 75
1536071506.172, 0, 43, 66
1536071507.186, 0, 40, 44
1536071508.190, 0, 23, 35
1536071509.187, 0, 27, 37
1536071510.188, 0, 37, 44
1536071511.189, 0, 41, 47
1536071512.184, 0, 60, 47
1536071513.203, 0, 60, 44
1536071514.188, 0, 44, 43
1536071515.193, 0, 48, 54
1536071516.191, 0, 44, 57
1536071517.186, 0, 50, 54
1536071518.172, 0, 48, 57
1536071519.205, 0, 53, 44
1536071520.188, 0, 51, 56
1536071521.189, 0, 47, 48
1536071522.205, 0, 57, 63
1536071523.218, 0, 50, 77
1536071524.184, 0, 53, 64
1536071525.199, 0, 51, 75
1536071526.174, 0, 50, 63
1536071527.201, 0, 40, 57
1536071528.177, 0, 30, 54
1536071529.203, 0, 29, 53
1536071530.198, 0, 30, 43
1536071531.185, 0, 41, 51
1536071532.204, 0, 56, 53
1536071533.207, 0, 54, 54
1536071534.200, 0, 56, 60
1536071535.205, 0, 57, 48
1536071536.176, 0, 47, 48
1536071537.205, 0, 50, 40
1536071538.188, 0, 51, 51
1536071539.184, 0, 48, 50
1536071540.178, 0, 51, 53
1536071541.190, 0, 43, 66
1536071542.192, 0, 44, 57
1536071543.192, 0, 51, 74
1536071544.191, 0, 54, 67
1536071545.204, 0, 64, 64
1536071546.188, 0, 57, 66
1536071547.205, 0, 56, 61
1536071548.186, 0, 50, 63
1536071549.205, 0, 56, 60
1536071550.192, 0, 60, 54
1536071551.186, 0, 48, 27
1536071552.204, 0, 56, 29
1536071553.183, 0, 40, 37
1536071554.203, 0, 44, 29
1536071555.189, 0, 60, 61
1536071556.190, 0, 53, 53
1536071557.202, 0, 53, 34
1536071558.190, 0, 47, 48
1536071559.187, 0, 30, 41
1536071560.192, 0, 34, 41
1536071561.206, 0, 43, 56
1536071562.200, 0, 40, 41
1536071563.189, 0, 44, 41
1536071564.203, 0, 41, 50
1536071565.192, 0, 41, 44
1536071566.219, 0, 47, 50
1536071567.175, 0, 51, 53
1536071568.188, 0, 64, 54
1536071569.206, 0, 53, 56
1536071570.191, 0, 51, 64
1536071571.190, 0, 54, 64
1536071572.198, 0, 53, 60
1536071573.186, 0, 60, 63
1536071574.204, 0, 63, 69
1536071575.187, 0, 63, 77
1536071576.204, 0, 61, 81
1536071577.207, 0, 63, 64
1536071578.193, 0, 61, 54
1536071579.177, 0, 61, 57
1536071580.186, 0, 53, 64
1536071581.204, 0, 54, 74
1536071582.187, 0, 44, 77
1536071583.190, 0, 30, 64
1536071584.204, 0, 41, 56
1536071585.182, 0, 41, 66
1536071586.202, 0, 51, 66
1536071587.173, 0, 66, 70
1536071588.192, 0, 61, 74
1536071589.174, 0, 57, 57
1536071590.193, 0, 50, 56
1536071591.190, 0, 38, 44
1536071592.202, 0, 43, 37
1536071593.203, 0, 48, 47
1536071594.205, 0, 47, 47
1536071595.190, 0, 47, 54
1536071596.217, 0, 35, 47
1536071597.192, 0, 29, 38
1536071598.199, 0, 35, 29
1536071599.172, 0, 35, 24
1536071600.191, 0, 51, 40
1536071601.205, 0, 48, 53
1536071602.191, 0, 53, 63
1536071603.190, 0, 64, 70
1536071604.170, 0, 44, 69
1536071605.206, 0, 50, 74
1536071606.205, 0, 43, 74
1536071607.205, 0, 40, 70
1536071608.199, 0, 44, 70
1536071609.189, 0, 47, 67
1536071610.187, 0, 48, 57
1536071611.188, 0, 34, 54
1536071612.187, 0, 26, 54
1536071613.192, 0, 29, 47
1536071614.185, 0, 38, 61
1536071615.204, 0, 54, 53
1536071616.188, 0, 56, 56
1536071617.184, 0, 56, 60
1536071618.204, 0, 56, 54
1536071619.193, 0, 44, 54
1536071620.208, 0, 51, 56
1536071621.178, 0, 63, 56
1536071622.205, 0, 56, 54
1536071623.198, 0, 66, 64
1536071624.184, 0, 69, 67
1536071625.203, 0, 54, 57
1536071626.176, 0, 43, 37
1536071627.203, 0, 27, 37
1536071628.177, 0, 27, 27
1536071629.184, 0, 27, 40
1536071630.192, 0, 35, 54
1536071631.193, 0, 51, 40
1536071632.191, 0, 34, 40
1536071633.205, 0, 37, 37
1536071634.190, 0, 44, 51
1536071635.202, 0, 41, 64
1536071636.173, 0, 53, 74
1536071637.202, 0, 48, 66
1536071638.172, 0, 44, 48
1536071639.188, 0, 44, 54
1536071640.175, 0, 50, 53
1536071641.189, 0, 48, 67
1536071642.188, 0, 50, 69
1536071643.204, 0, 48, 53
1536071644.192, 0, 35, 48
1536071645.208, 0, 27, 47
1536071646.193, 0, 34, 51
1536071647.205, 0, 34, 64
1536071648.191, 0, 41, 63
1536071649.184, 0, 57, 63
1536071650.174, 0, 43, 54
1536071651.193, 0, 35, 51
1536071652.204, 0, 40, 51
1536071653.177, 0, 44, 53
1536071654.185, 0, 43, 51
1536071655.208, 0, 44, 47
1536071656.187, 0, 48, 43
1536071657.221, 0, 38, 38
1536071658.192, 0, 50, 48
1536071659.184, 0, 56, 63
1536071660.174, 0, 47, 64
1536071661.184, 0, 44, 60
1536071662.207, 0, 48, 56
1536071663.205, 0, 41, 57
1536071664.205, 0, 37, 61
1536071665.202, 0, 41, 64
1536071666.185, 0, 43, 61
1536071667.219, 0, 51, 69
1536071668.193, 0, 50, 64
1536071669.199, 0, 43, 48
1536071670.193, 0, 43, 50
1536071671.184, 0, 38, 35
1536071672.204, 0, 47, 35
1536071673.184, 0, 57, 47
1536071674.204, 0, 44, 57
1536071675.192, 0, 51, 60
1536071676.191, 0, 61, 57
1536071677.198, 0, 61, 80
1536071678.199, 0, 70, 61
1536071679.202, 0, 70, 57
1536071680.189, 0, 64, 64
1536071681.190, 0, 63, 48
1536071682.175, 0, 69, 56
1536071683.183, 0, 69, 70
1536071684.192, 0, 66, 67
1536071685.183, 0, 64, 70
1536071686.191, 0, 60, 77
1536071687.178, 0, 57, 70
1536071688.192, 0, 63, 75
1536071689.224, 0, 64, 70
1536071690.178, 0, 63, 75
1536071691.183, 0, 75, 70
1536071692.177, 0, 67, 60
1536071693.198, 0, 60, 67
1536071694.198, 0, 50, 53
1536071695.202, 0, 37, 51
1536071696.189, 0, 30, 61
1536071697.173, 0, 41, 64
1536071698.201, 0, 48, 69
1536071699.177, 0, 60, 69
1536071700.194, 0, 69, 66
1536071701.203, 0, 61, 61
1536071702.189, 0, 74, 64
1536071703.185, 0, 66, 74
1536071704.194, 0, 53, 75
1536071705.185, 0, 61, 74
1536071706.205, 0, 50, 67
1536071707.172, 0, 50, 60
1536071708.204, 0, 60, 43
1536071709.188, 0, 50, 43
1536071710.185, 0, 41, 56
1536071711.190, 0, 40, 54
1536071712.176, 0, 37, 53
1536071713.204, 0, 41, 53
1536071714.200, 0, 53, 44
1536071715.184, 0, 57, 50
1536071716.207, 0, 66, 70
1536071717.174, 0, 78, 70
1536071718.201, 0, 70, 83
1536071719.187, 0, 66, 77
1536071720.184, 0, 60, 75
1536071721.223, 0, 47, 81
1536071722.190, 0, 44, 67
1536071723.199, 0, 44, 70
1536071724.192, 0, 47, 63
1536071725.219, 0, 43, 54
1536071726.199, 0, 56, 51
1536071727.184, 0, 50, 48
1536071728.204, 0, 47, 51
1536071729.176, 0, 54, 54
1536071730.191, 0, 50, 66
1536071731.172, 0, 63, 67
1536071732.184, 0, 61, 66
1536071733.205, 0, 64, 61
1536071734.183, 0, 53, 53
1536071735.190, 0, 48, 50
1536071736.172, 0, 54, 48
1536071737.191, 0, 44, 57
1536071738.205, 0, 51, 60
1536071739.191, 0, 44, 54
1536071740.220, 0, 43, 44
1536071741.174, 0, 30, 30
1536071742.192, 0, 43, 38
1536071743.206, 0, 43, 41
1536071744.192, 0, 53, 57
1536071745.205, 0, 54, 50
1536071746.192, 0, 54, 43
1536071747.194, 0, 61, 43
