"id,mean_EDA,sd_EDA,mean_HR,sd_HR"
"1.1,0.2279277,0.00200494737917914,79.3683333333333,0.455314088888351"
"2.1,0.261197733333333,0.00375390787468907,75.656,2.24711247665946"
"3.1,0.0938318083333333,0.00259567274126803,65.0366666666667,0.363956546604249"
"5.1,0.799490208333333,0.0669247544331021,62.27,1.37550742988003"
"6.1,0.247280666666667,0.00247102966097823,69.157,0.499635384296767"
"7.1,0.885368733333333,0.00539843398197134,95.0596666666667,1.02038695612492"
"8.1,5.33550108333333,0.185988102038207,72.7493333333333,2.24416013524964"
"9.1,0.317449066666667,0.00808063534582256,91.5863333333333,0.451010232572453"
"10.1,4.23898708333333,0.129782204700545,70.4253333333333,0.791322478113578"
"11.1,5.68851929166667,0.11707759412669,68.7953333333333,0.114793167324401"
"12.1,5.41828693333333,0.301542601421445,87.748,0.886357910117344"
"13.1,7.16147113333333,0.115548750077923,76.656,0.737108048973873"
"14.1,0.791019275,0.0104647400927808,63.366,0.488640619650488"
"15.1,4.48382960833333,0.0746137830819701,52.7236666666667,2.05856240988761"
"16.1,0.411217,0.00249290656857891,74.2683333333333,0.959831462696243"
"17.1,0.99748115,0.0263760551384468,91.629,0.58227467152835"
"18.1,0.251974858333333,0.00212547184003625,88.0863333333333,0.602423171998654"
"19.1,0.428750241666667,0.00256903300316647,70.6886666666667,0.265209524629157"
"20.1,1.16150093333333,0.0227037809074021,65.2046666666667,0.0657441925235558"
"21.1,0.485618033333333,0.00854543106773048,93.4116666666667,0.346769160357019"
"22.1,0.448652466666667,0.00303744814648366,74.051,0.762624099567657"
