Time, Value
1537885529.741, 0
1537885530.752, 0
1537885531.742, 0
1537885532.753, 0
1537885533.773, 0
1537885534.757, 0
1537885535.752, 0
1537885536.741, 0
1537885537.754, 0
1537885538.773, 0
1537885539.753, 0
1537885540.753, 0
1537885541.761, 0
1537885542.756, 0
1537885543.769, 0
1537885544.753, 0
1537885545.788, 0
1537885546.743, 0
1537885547.753, 0
1537885548.737, 0
1537885549.742, 0
1537885550.770, 0
1537885551.744, 0
1537885552.757, 0
1537885553.772, 0
1537885554.759, 0
1537885555.758, 0
1537885556.742, 0
1537885557.772, 0
1537885558.742, 0
1537885559.763, 0
1537885560.744, 0
1537885561.742, 0
1537885562.760, 0
1537885563.749, 0
1537885564.759, 0
1537885565.761, 0
1537885566.759, 0
1537885567.770, 0
1537885568.741, 0
1537885569.760, 0
1537885570.742, 0
1537885571.758, 0
1537885572.753, 0
1537885573.762, 0
1537885574.758, 0
1537885575.786, 0
1537885576.753, 0
1537885577.776, 0
1537885578.742, 0
1537885579.772, 0
1537885580.740, 0
1537885581.762, 0
1537885582.754, 0
1537885583.753, 0
1537885584.757, 0
1537885585.738, 0
1537885586.772, 0
1537885587.775, 0
1537885588.746, 0
1537885589.772, 0
1537885590.741, 0
1537885591.762, 0
1537885592.747, 0
1537885593.758, 0
1537885594.755, 0
1537885595.743, 0
1537885596.753, 0
1537885597.760, 0
1537885598.744, 0
1537885599.759, 0
1537885600.743, 0
1537885601.760, 0
1537885602.747, 0
1537885603.745, 0
1537885604.758, 0
1537885605.752, 0
1537885606.758, 0
1537885607.743, 0
1537885608.760, 0
1537885609.746, 0
1537885610.757, 0
1537885611.761, 0
1537885612.773, 0
1537885613.759, 0
1537885614.776, 0
1537885615.761, 0
1537885616.788, 0
1537885617.738, 0
1537885618.760, 0
1537885619.742, 0
1537885620.743, 0
1537885621.745, 0
1537885622.743, 0
1537885623.773, 0
1537885624.774, 0
1537885625.760, 0
1537885626.756, 0
1537885627.762, 0
1537885628.754, 0
1537885629.742, 0
1537885630.761, 0
1537885631.740, 0
1537885632.744, 0
1537885633.756, 0
1537885634.740, 0
1537885635.753, 0
1537885636.773, 0
1537885637.752, 0
1537885638.758, 0
1537885639.741, 0
1537885640.756, 0
1537885641.741, 0
1537885642.773, 0
1537885643.760, 0
1537885644.761, 0
1537885645.757, 0
1537885646.777, 0
1537885647.756, 0
1537885648.777, 0
1537885649.746, 0
1537885650.757, 0
1537885651.741, 0
1537885652.755, 0
1537885653.759, 0
1537885654.746, 0
1537885655.773, 0
1537885656.744, 0
1537885657.759, 0
1537885658.772, 0
1537885659.755, 0
