Time, Value
1544802373.001, 83
1544802373.996, 77
1544802375.011, 38
1544802376.011, 23
1544802377.014, 3
1544802378.009, 16
1544802378.994, 44
1544802380.015, 66
1544802381.001, 56
1544802382.004, 57
1544802383.015, 54
1544802384.001, 47
1544802385.000, 64
1544802386.017, 48
1544802387.002, 34
1544802388.013, 40
1544802388.996, 43
1544802390.012, 48
1544802390.989, 66
1544802392.000, 51
1544802393.003, 51
1544802393.999, 67
1544802395.019, 66
1544802396.014, 90
1544802397.007, 96
1544802398.019, 97
1544802399.003, 100
1544802400.016, 96
1544802401.000, 96
1544802402.008, 96
1544802403.018, 93
1544802404.002, 83
1544802405.018, 70
1544802406.008, 69
1544802407.024, 66
1544802408.017, 70
1544802409.004, 78
1544802410.022, 78
1544802411.010, 70
1544802412.012, 90
1544802412.997, 94
1544802414.010, 87
1544802415.019, 87
1544802416.005, 78
1544802417.008, 80
1544802418.020, 87
1544802419.022, 93
1544802420.020, 84
1544802421.015, 70
1544802422.046, 74
1544802423.012, 74
1544802424.006, 69
1544802425.026, 60
1544802426.014, 63
1544802427.023, 44
1544802428.010, 50
1544802429.015, 53
1544802430.023, 43
1544802431.010, 56
1544802432.023, 57
1544802433.018, 74
1544802434.011, 69
1544802435.014, 67
1544802436.010, 70
1544802437.040, 56
1544802438.015, 70
1544802439.027, 64
1544802440.011, 60
1544802441.010, 75
1544802442.026, 78
1544802443.013, 83
1544802444.018, 94
1544802445.012, 83
1544802446.032, 67
1544802447.031, 75
1544802448.028, 64
1544802449.034, 54
1544802450.019, 64
1544802451.021, 67
1544802452.008, 75
1544802453.019, 83
1544802454.028, 87
1544802455.014, 90
1544802456.018, 91
1544802457.032, 94
1544802458.016, 96
1544802459.030, 94
1544802460.005, 94
1544802461.036, 94
1544802462.019, 81
1544802463.032, 77
1544802464.012, 69
1544802465.021, 84
1544802466.032, 84
1544802467.049, 69
1544802468.024, 77
1544802469.033, 69
1544802470.020, 81
1544802471.034, 93
1544802472.019, 84
1544802473.019, 83
1544802474.025, 80
1544802475.029, 81
1544802476.039, 84
1544802477.026, 81
1544802478.055, 80
1544802479.041, 74
1544802480.026, 84
1544802481.036, 81
1544802482.024, 87
1544802483.021, 84
1544802484.031, 75
1544802485.025, 91
1544802486.037, 81
1544802487.059, 88
1544802488.044, 94
1544802489.031, 84
1544802490.027, 91
1544802491.044, 91
1544802492.029, 83
1544802493.061, 78
1544802494.027, 83
1544802495.031, 91
1544802496.040, 100
1544802497.027, 93
1544802498.041, 88
