Time, Value
1544802373.001, 37
1544802373.996, 43
1544802375.011, 38
1544802376.011, 38
1544802377.014, 48
1544802378.009, 48
1544802378.994, 56
1544802380.015, 57
1544802381.001, 56
1544802382.004, 60
1544802383.015, 57
1544802384.001, 50
1544802385.000, 47
1544802386.017, 47
1544802387.002, 37
1544802388.013, 50
1544802388.996, 60
1544802390.012, 60
1544802390.989, 64
1544802392.000, 66
1544802393.003, 56
1544802393.999, 60
1544802395.019, 66
1544802396.014, 50
1544802397.007, 63
1544802398.019, 60
1544802399.003, 60
1544802400.016, 61
1544802401.000, 56
1544802402.008, 54
1544802403.018, 53
1544802404.002, 56
1544802405.018, 74
1544802406.008, 69
1544802407.024, 70
1544802408.017, 57
1544802409.004, 35
1544802410.022, 35
1544802411.010, 44
1544802412.012, 64
1544802412.997, 69
1544802414.010, 69
1544802415.019, 53
1544802416.005, 43
1544802417.008, 37
1544802418.020, 47
1544802419.022, 54
1544802420.020, 77
1544802421.015, 77
1544802422.046, 60
1544802423.012, 63
1544802424.006, 44
1544802425.026, 50
1544802426.014, 63
1544802427.023, 54
1544802428.010, 67
1544802429.015, 64
1544802430.023, 61
1544802431.010, 75
1544802432.023, 67
1544802433.018, 74
1544802434.011, 74
1544802435.014, 57
1544802436.010, 63
1544802437.040, 70
1544802438.015, 75
1544802439.027, 63
1544802440.011, 57
1544802441.010, 51
1544802442.026, 48
1544802443.013, 60
1544802444.018, 61
1544802445.012, 44
1544802446.032, 53
1544802447.031, 57
1544802448.028, 48
1544802449.034, 67
1544802450.019, 61
1544802451.021, 66
1544802452.008, 61
1544802453.019, 60
1544802454.028, 60
1544802455.014, 53
1544802456.018, 66
1544802457.032, 78
1544802458.016, 64
1544802459.030, 70
1544802460.005, 54
1544802461.036, 44
1544802462.019, 56
1544802463.032, 48
1544802464.012, 66
1544802465.021, 44
1544802466.032, 29
1544802467.049, 34
1544802468.024, 30
1544802469.033, 54
1544802470.020, 56
1544802471.034, 41
1544802472.019, 51
1544802473.019, 47
1544802474.025, 60
1544802475.029, 69
1544802476.039, 47
1544802477.026, 48
1544802478.055, 57
1544802479.041, 57
1544802480.026, 69
1544802481.036, 67
1544802482.024, 54
1544802483.021, 63
1544802484.031, 56
1544802485.025, 54
1544802486.037, 47
1544802487.059, 48
1544802488.044, 43
1544802489.031, 40
1544802490.027, 53
1544802491.044, 53
1544802492.029, 53
1544802493.061, 74
1544802494.027, 57
