Time, PoorSignal, Attention, Meditation
1536934878.391, 0, 54, 66
1536934879.409, 0, 47, 53
1536934880.390, 0, 30, 67
1536934881.407, 0, 29, 60
1536934882.409, 0, 48, 83
1536934883.392, 0, 50, 96
1536934884.411, 0, 56, 88
1536934885.422, 0, 61, 83
1536934886.406, 0, 63, 63
1536934887.406, 0, 57, 61
1536934888.389, 0, 53, 48
1536934889.411, 0, 41, 37
1536934890.407, 0, 40, 66
1536934891.411, 0, 53, 63
1536934892.405, 0, 69, 61
1536934893.391, 0, 74, 78
1536934894.404, 0, 77, 57
1536934895.426, 0, 66, 60
1536934896.418, 0, 48, 69
1536934897.421, 0, 50, 60
1536934898.387, 0, 41, 60
1536934899.433, 0, 38, 64
1536934900.389, 0, 47, 66
1536934901.392, 0, 40, 81
1536934902.387, 0, 50, 87
1536934903.392, 0, 56, 81
1536934904.404, 0, 54, 78
1536934905.417, 0, 60, 61
1536934906.403, 0, 50, 41
1536934907.411, 0, 43, 34
1536934908.403, 0, 40, 41
1536934909.407, 0, 38, 54
1536934910.388, 0, 51, 67
1536934911.404, 0, 61, 77
1536934912.388, 0, 75, 64
1536934913.393, 0, 75, 54
1536934914.408, 0, 70, 53
1536934915.395, 0, 70, 56
1536934916.405, 0, 69, 61
1536934917.418, 0, 67, 70
1536934918.401, 0, 64, 78
1536934919.427, 0, 69, 64
1536934920.394, 0, 56, 70
1536934921.403, 0, 57, 66
1536934922.405, 0, 64, 63
1536934923.405, 0, 54, 74
1536934924.408, 0, 66, 77
1536934925.394, 0, 64, 81
1536934926.417, 0, 54, 81
1536934927.393, 0, 56, 88
1536934928.408, 0, 57, 75
1536934929.420, 0, 64, 64
1536934930.407, 0, 75, 56
1536934931.441, 0, 80, 50
1536934932.408, 0, 80, 61
1536934933.393, 0, 74, 56
1536934934.411, 0, 64, 70
1536934935.404, 0, 64, 77
1536934936.407, 0, 63, 67
1536934937.408, 0, 67, 77
1536934938.401, 0, 61, 74
1536934939.392, 0, 48, 54
1536934940.407, 0, 56, 54
1536934941.420, 0, 35, 44
1536934942.391, 0, 30, 41
1536934943.411, 0, 24, 41
1536934944.396, 0, 14, 56
1536934945.410, 0, 30, 67
1536934946.404, 0, 41, 69
1536934947.411, 0, 60, 84
1536934948.404, 0, 63, 69
1536934949.387, 0, 56, 64
1536934950.406, 0, 54, 61
1536934951.387, 0, 57, 54
1536934952.412, 0, 50, 61
1536934953.407, 0, 60, 56
1536934954.389, 0, 51, 57
1536934955.405, 0, 35, 57
1536934956.433, 0, 26, 47
1536934957.401, 0, 13, 57
1536934958.404, 0, 13, 44
1536934959.391, 0, 14, 35
1536934960.406, 0, 29, 30
1536934961.388, 0, 40, 11
1536934962.409, 0, 51, 11
1536934963.410, 0, 66, 27
1536934964.407, 0, 61, 29
1536934965.403, 0, 67, 43
