Time, Value
1536243698.083, 0
1536243699.110, 0
1536243700.100, 0
1536243701.086, 0
1536243702.093, 0
1536243703.133, 0
1536243704.093, 0
1536243705.114, 0
1536243706.086, 0
1536243707.100, 0
1536243708.099, 0
1536243709.100, 0
1536243710.097, 0
1536243711.086, 0
1536243712.113, 0
1536243713.085, 0
1536243714.109, 0
1536243715.108, 0
1536243716.102, 0
1536243717.099, 0
1536243718.084, 0
1536243719.100, 0
1536243720.118, 0
1536243721.094, 0
1536243722.097, 0
1536243723.098, 0
1536243724.095, 0
1536243725.095, 0
1536243726.101, 0
1536243727.118, 0
1536243728.103, 0
1536243729.117, 0
1536243730.102, 0
1536243731.098, 0
1536243732.098, 0
1536243733.079, 0
1536243734.097, 0
1536243735.081, 0
1536243736.085, 0
1536243737.078, 0
1536243738.086, 0
1536243739.092, 0
1536243740.094, 0
1536243741.092, 0
1536243742.115, 0
1536243743.095, 0
1536243744.110, 0
1536243745.088, 0
1536243746.099, 0
1536243747.081, 0
1536243748.087, 0
1536243749.101, 0
1536243750.088, 0
1536243751.099, 0
1536243752.114, 0
1536243753.092, 0
1536243754.114, 0
1536243755.130, 0
1536243756.099, 0
1536243757.083, 0
1536243758.101, 0
1536243759.113, 0
1536243760.099, 0
1536243761.101, 0
1536243762.118, 0
1536243763.098, 0
1536243764.108, 0
1536243765.100, 0
1536243766.099, 0
1536243767.083, 0
1536243768.102, 0
1536243769.084, 0
1536243770.098, 0
1536243771.098, 0
1536243772.094, 0
1536243773.100, 0
1536243774.116, 0
1536243775.102, 0
1536243776.125, 0
1536243777.087, 0
1536243778.094, 0
1536243779.082, 0
1536243780.095, 0
1536243781.116, 0
1536243782.102, 0
1536243783.096, 0
1536243784.082, 0
1536243785.115, 0
1536243786.111, 0
1536243787.085, 0
1536243788.095, 0
1536243789.082, 0
1536243790.095, 0
1536243791.108, 0
1536243792.098, 0
1536243793.098, 0
1536243794.078, 0
1536243795.096, 0
1536243796.102, 0
1536243797.087, 0
1536243798.114, 0
1536243799.100, 0
1536243800.108, 0
1536243801.108, 0
1536243802.097, 0
1536243803.114, 0
1536243804.086, 0
1536243805.102, 0
1536243806.087, 0
1536243807.086, 0
1536243808.078, 0
1536243809.097, 0
1536243810.093, 0
1536243811.096, 0
1536243812.098, 0
1536243813.116, 0
1536243814.092, 0
1536243815.113, 0
1536243816.085, 0
1536243817.099, 0
1536243818.083, 0
1536243819.101, 0
1536243820.100, 0
1536243821.093, 0
1536243822.095, 0
1536243823.108, 0
1536243824.093, 0
1536243825.117, 0
1536243826.101, 0
1536243827.116, 0
1536243828.099, 0
1536243829.100, 0
1536243830.114, 0
1536243831.100, 0
1536243832.093, 0
1536243833.079, 0
1536243834.093, 0
1536243835.110, 0
1536243836.101, 0
1536243837.115, 0
1536243838.100, 0
1536243839.095, 0
1536243840.082, 0
1536243841.096, 0
1536243842.101, 0
1536243843.110, 0
1536243844.093, 0
1536243845.082, 0
1536243846.100, 0
1536243847.130, 0
1536243848.085, 0
1536243849.099, 0
1536243850.083, 0
1536243851.148, 0
1536243852.101, 0
1536243853.087, 0
1536243854.102, 0
1536243855.079, 0
1536243856.113, 0
1536243857.078, 0
1536243858.119, 0
1536243859.093, 0
1536243860.087, 0
1536243861.099, 0
1536243862.118, 0
1536243863.101, 0
1536243864.109, 0
1536243865.082, 0
1536243866.100, 0
1536243867.089, 0
1536243868.099, 0
1536243869.095, 0
1536243870.083, 0
1536243871.096, 0
1536243872.116, 0
1536243873.115, 0
1536243874.115, 0
1536243875.099, 0
1536243876.097, 0
1536243877.079, 0
1536243878.102, 0
1536243879.087, 0
1536243880.084, 0
1536243881.093, 0
1536243882.099, 0
