Time, PoorSignal, Attention, Meditation
1542121961.695, 0, 44, 70
1542121962.682, 0, 43, 90
1542121963.697, 0, 56, 87
1542121964.677, 0, 61, 100
1542121965.694, 0, 61, 91
1542121966.680, 0, 74, 90
1542121967.681, 0, 50, 87
1542121968.698, 51, 50, 87
1542121969.694, 51, 50, 87
1542121970.696, 25, 50, 87
1542121971.708, 51, 50, 87
1542121972.681, 51, 50, 87
1542121973.709, 25, 50, 87
1542121974.684, 0, 44, 77
1542121975.689, 0, 30, 61
1542121976.682, 0, 27, 50
1542121977.682, 0, 44, 54
1542121978.682, 0, 57, 54
1542121979.696, 0, 60, 67
1542121980.698, 0, 57, 81
1542121981.684, 0, 44, 57
1542121982.700, 0, 27, 60
1542121983.700, 0, 40, 67
1542121984.712, 0, 43, 56
1542121985.698, 0, 54, 69
1542121986.679, 0, 63, 74
1542121987.698, 0, 63, 66
1542121988.681, 0, 56, 69
1542121989.695, 0, 54, 74
1542121990.699, 0, 56, 64
1542121991.680, 0, 56, 60
1542121992.689, 0, 64, 54
1542121993.713, 0, 61, 64
1542121994.689, 0, 64, 70
1542121995.709, 0, 54, 69
1542121996.676, 0, 50, 77
1542121997.694, 0, 60, 75
1542121998.680, 0, 51, 70
1542121999.697, 0, 57, 80
1542122000.684, 0, 60, 84
1542122001.699, 0, 53, 87
1542122002.692, 0, 54, 83
1542122003.721, 0, 60, 77
1542122004.699, 0, 64, 70
1542122005.711, 0, 70, 64
1542122006.677, 0, 78, 78
1542122007.693, 0, 84, 83
1542122008.679, 0, 88, 78
1542122009.680, 0, 84, 61
1542122010.682, 0, 80, 60
1542122011.681, 0, 70, 61
1542122012.695, 0, 75, 64
1542122013.697, 0, 66, 53
1542122014.713, 0, 74, 48
1542122015.699, 0, 81, 35
1542122016.705, 0, 74, 40
1542122017.699, 0, 80, 60
1542122018.684, 0, 70, 69
1542122019.691, 0, 60, 80
1542122020.679, 0, 48, 74
1542122021.698, 0, 41, 80
1542122022.696, 0, 44, 70
1542122023.683, 0, 44, 64
1542122024.697, 0, 56, 57
1542122025.684, 0, 57, 61
1542122026.696, 0, 61, 57
1542122027.714, 0, 60, 64
1542122028.683, 0, 64, 60
1542122029.711, 0, 75, 41
1542122030.675, 0, 80, 38
1542122031.699, 0, 90, 40
1542122032.693, 0, 80, 40
1542122033.694, 0, 77, 38
1542122034.698, 0, 66, 35
1542122035.692, 0, 67, 38
1542122036.698, 0, 78, 40
1542122037.683, 0, 70, 61
1542122038.677, 0, 83, 75
1542122039.696, 0, 75, 83
1542122040.694, 0, 60, 88
1542122041.698, 0, 61, 90
1542122042.696, 0, 56, 88
1542122043.700, 0, 53, 75
1542122044.706, 0, 69, 74
1542122045.700, 0, 81, 66
1542122046.710, 0, 83, 64
1542122047.682, 0, 94, 56
1542122048.682, 0, 94, 56
1542122049.684, 0, 93, 57
1542122050.698, 0, 94, 60
1542122051.692, 0, 88, 66
1542122052.682, 0, 81, 64
1542122053.691, 0, 70, 57
1542122054.711, 0, 77, 44
1542122055.694, 0, 83, 43
1542122056.692, 0, 93, 34
1542122057.682, 0, 100, 38
1542122058.692, 0, 100, 44
1542122059.684, 0, 100, 43
1542122060.697, 0, 100, 57
1542122061.690, 0, 91, 44
1542122062.696, 0, 84, 53
1542122063.690, 0, 81, 60
1542122064.697, 0, 88, 48
1542122065.689, 0, 91, 54
1542122066.696, 0, 97, 53
1542122067.696, 0, 91, 43
1542122068.696, 0, 81, 40
1542122069.675, 0, 83, 51
1542122070.691, 0, 75, 47
1542122071.675, 0, 80, 63
1542122072.712, 0, 81, 81
1542122073.699, 0, 87, 67
1542122074.682, 0, 87, 66
1542122075.693, 0, 90, 48
1542122076.728, 0, 93, 30
1542122077.682, 0, 93, 40
1542122078.699, 0, 83, 24
1542122079.683, 0, 81, 27
1542122080.700, 0, 83, 40
1542122081.685, 0, 80, 37
1542122082.694, 0, 91, 56
1542122083.696, 0, 90, 53
1542122084.682, 0, 94, 48
1542122085.697, 0, 87, 47
1542122086.682, 0, 70, 30
1542122087.714, 0, 78, 34
1542122088.710, 0, 66, 37
1542122089.684, 0, 83, 27
1542122090.698, 0, 96, 37
1542122091.681, 0, 91, 35
1542122092.689, 0, 88, 27
1542122093.694, 0, 70, 17
1542122094.697, 0, 64, 8
1542122095.694, 0, 69, 10
1542122096.683, 0, 83, 11
1542122097.697, 0, 93, 24
1542122098.696, 0, 94, 38
1542122099.690, 0, 84, 26
1542122100.710, 0, 75, 34
1542122101.675, 0, 61, 37
1542122102.706, 0, 74, 17
1542122103.710, 0, 83, 30
1542122104.699, 0, 75, 27
1542122105.692, 0, 75, 24
1542122106.677, 0, 77, 41
1542122107.694, 0, 67, 34
1542122108.669, 0, 70, 35
1542122109.697, 0, 80, 38
1542122110.678, 0, 64, 30
1542122111.699, 0, 69, 43
1542122112.691, 0, 69, 43
1542122113.696, 0, 64, 53
1542122114.689, 0, 67, 57
1542122115.697, 0, 69, 48
1542122116.683, 0, 77, 51
1542122117.705, 0, 74, 29
1542122118.679, 0, 66, 27
1542122119.684, 0, 66, 29
1542122120.671, 0, 60, 21
1542122121.681, 0, 54, 27
1542122122.696, 0, 64, 26
1542122123.683, 0, 61, 26
1542122124.697, 0, 67, 16
1542122125.711, 0, 70, 17
1542122126.681, 0, 61, 20
1542122127.691, 0, 61, 38
1542122128.698, 0, 61, 51
1542122129.692, 0, 60, 53
1542122130.686, 0, 63, 57
1542122131.694, 0, 54, 35
1542122132.708, 0, 48, 29
1542122133.682, 0, 61, 37
1542122134.698, 0, 64, 29
1542122135.695, 0, 66, 34
1542122136.696, 0, 69, 26
1542122137.709, 0, 56, 16
1542122138.681, 0, 61, 20
1542122139.697, 0, 56, 20
1542122140.681, 0, 67, 29
1542122141.695, 0, 78, 38
1542122142.675, 0, 69, 20
1542122143.694, 0, 77, 20
1542122144.691, 0, 67, 23
1542122145.684, 0, 80, 17
1542122146.695, 0, 80, 23
1542122147.712, 0, 93, 16
1542122148.677, 0, 87, 1
1542122149.695, 0, 77, 1
1542122150.686, 0, 80, 4
1542122151.680, 0, 66, 16
1542122152.680, 0, 84, 29
1542122153.701, 0, 77, 24
1542122154.689, 0, 74, 24
1542122155.698, 0, 81, 26
1542122156.695, 0, 70, 10
1542122157.678, 0, 77, 23
1542122158.705, 0, 70, 30
1542122159.712, 0, 60, 37
1542122160.680, 0, 57, 61
1542122161.683, 0, 61, 69
1542122162.683, 0, 67, 60
1542122163.694, 0, 67, 60
1542122164.699, 0, 67, 30
1542122165.683, 0, 57, 11
1542122166.693, 0, 60, 13
1542122167.679, 0, 56, 8
1542122168.689, 0, 51, 38
1542122169.698, 0, 53, 54
1542122170.695, 0, 48, 44
1542122171.696, 0, 54, 34
1542122172.683, 0, 60, 21
1542122173.711, 0, 63, 16
1542122174.697, 0, 70, 21
1542122175.695, 0, 70, 26
1542122176.693, 0, 67, 30
1542122177.680, 0, 64, 51
1542122178.690, 0, 63, 47
1542122179.684, 0, 63, 51
1542122180.689, 0, 61, 51
1542122181.676, 0, 57, 38
1542122182.682, 0, 54, 23
1542122183.690, 0, 51, 34
1542122184.683, 0, 41, 35
1542122185.699, 0, 44, 23
1542122186.692, 0, 44, 50
1542122187.692, 0, 56, 53
1542122188.698, 0, 66, 38
1542122189.680, 0, 56, 35
1542122190.684, 0, 43, 37
1542122191.684, 0, 47, 35
1542122192.697, 0, 44, 41
1542122193.699, 0, 54, 47
1542122194.677, 0, 75, 35
1542122195.701, 0, 66, 37
1542122196.713, 0, 64, 44
1542122197.689, 0, 64, 56
1542122198.695, 0, 60, 63
1542122199.691, 0, 56, 61
1542122200.691, 0, 63, 53
1542122201.677, 0, 64, 41
1542122202.680, 0, 51, 43
1542122203.713, 0, 61, 24
1542122204.678, 0, 60, 26
1542122205.690, 0, 54, 35
1542122206.669, 0, 63, 29
1542122207.694, 0, 61, 50
1542122208.693, 0, 61, 50
1542122209.682, 0, 66, 51
1542122210.692, 0, 61, 41
1542122211.678, 0, 47, 38
1542122212.681, 0, 44, 29
1542122213.679, 0, 48, 17
1542122214.694, 0, 50, 17
1542122215.691, 0, 66, 11
1542122216.697, 0, 61, 14
1542122217.690, 0, 67, 17
1542122218.668, 0, 70, 41
1542122219.696, 0, 61, 48
1542122220.726, 0, 74, 56
1542122221.684, 0, 60, 61
1542122222.693, 0, 53, 43
1542122223.676, 0, 61, 47
1542122224.681, 0, 48, 40
1542122225.698, 0, 57, 54
1542122226.683, 0, 66, 66
1542122227.702, 0, 60, 75
1542122228.676, 0, 67, 81
1542122229.691, 0, 56, 75
1542122230.671, 0, 54, 67
1542122231.683, 0, 47, 54
1542122232.700, 0, 44, 47
1542122233.682, 0, 44, 50
1542122234.697, 0, 37, 53
1542122235.699, 0, 47, 60
1542122236.696, 0, 48, 56
1542122237.695, 0, 47, 35
1542122238.684, 0, 50, 26
1542122239.698, 0, 51, 16
1542122240.676, 0, 47, 34
1542122241.679, 0, 60, 50
1542122242.683, 0, 63, 53
1542122243.681, 0, 60, 54
1542122244.698, 0, 54, 30
1542122245.957, 0, 51, 24
1542122246.708, 0, 50, 20
1542122247.694, 0, 56, 26
1542122248.678, 0, 70, 44
1542122249.694, 0, 77, 47
1542122250.679, 0, 70, 50
1542122251.678, 0, 78, 51
1542122252.683, 0, 80, 51
1542122253.681, 0, 70, 44
1542122254.694, 0, 81, 44
1542122255.696, 0, 74, 27
1542122256.691, 0, 70, 23
1542122257.694, 0, 69, 43
1542122258.700, 0, 69, 54
1542122259.693, 0, 80, 67
1542122260.679, 0, 63, 77
1542122261.683, 0, 67, 67
1542122262.682, 0, 67, 69
1542122263.683, 0, 51, 77
1542122264.695, 0, 66, 61
1542122265.678, 0, 61, 57
1542122266.684, 0, 54, 48
1542122267.710, 0, 66, 41
1542122268.687, 0, 66, 47
1542122269.697, 0, 70, 41
1542122270.687, 0, 87, 53
1542122271.690, 0, 93, 53
1542122272.698, 0, 81, 56
1542122273.696, 0, 80, 64
1542122274.697, 0, 84, 57
1542122275.678, 0, 63, 44
1542122276.713, 0, 67, 27
1542122277.682, 0, 74, 30
