Time, Value
1536307663.850, 34
1536307664.861, 26
1536307665.865, 30
1536307666.843, 23
1536307667.865, 24
1536307668.863, 35
1536307669.872, 44
1536307670.834, 44
1536307671.865, 38
1536307672.831, 34
1536307673.845, 26
1536307674.847, 30
1536307675.841, 37
1536307676.845, 41
1536307677.856, 41
1536307678.865, 50
1536307679.859, 60
1536307680.848, 47
1536307681.862, 48
1536307682.832, 57
1536307683.848, 40
1536307684.848, 47
1536307685.843, 54
1536307686.849, 48
1536307687.844, 51
1536307688.846, 44
1536307689.862, 38
1536307690.845, 29
1536307691.857, 26
1536307692.842, 20
1536307693.858, 10
1536307694.858, 17
1536307695.862, 27
1536307696.862, 38
1536307697.845, 60
1536307698.849, 56
1536307699.832, 53
1536307700.846, 57
1536307701.857, 34
1536307702.846, 23
1536307703.857, 27
1536307704.843, 35
1536307705.843, 40
1536307706.863, 48
1536307707.841, 51
1536307708.860, 43
1536307709.846, 43
1536307710.878, 48
1536307711.832, 35
1536307712.847, 24
1536307713.855, 27
1536307714.849, 26
1536307715.847, 37
1536307716.846, 43
1536307717.875, 41
1536307718.860, 41
1536307719.841, 34
1536307720.863, 43
1536307721.849, 44
1536307722.840, 44
1536307723.832, 60
1536307724.841, 63
1536307725.876, 57
1536307726.856, 38
1536307727.843, 17
1536307728.857, 1
1536307729.845, 3
1536307730.855, 16
1536307731.850, 35
1536307732.864, 41
1536307733.829, 38
1536307734.847, 29
1536307735.847, 34
1536307736.858, 34
1536307737.862, 40
1536307738.861, 50
1536307739.844, 40
1536307740.880, 40
1536307741.846, 43
1536307742.856, 40
1536307743.836, 51
1536307744.845, 43
1536307745.847, 41
1536307746.840, 48
1536307747.847, 29
1536307748.855, 40
1536307749.859, 35
1536307750.856, 35
1536307751.862, 44
1536307752.857, 43
1536307753.834, 43
1536307754.839, 40
1536307755.832, 35
1536307756.849, 35
1536307757.847, 41
1536307758.861, 43
1536307759.860, 44
1536307760.864, 43
1536307761.860, 34
1536307762.854, 37
1536307763.845, 20
1536307764.859, 23
1536307765.843, 27
1536307766.860, 23
1536307767.861, 34
1536307768.839, 38
1536307769.860, 53
1536307770.827, 53
1536307771.845, 57
1536307772.864, 53
1536307773.848, 50
1536307774.861, 40
1536307775.833, 43
1536307776.843, 48
1536307777.854, 34
1536307778.839, 43
1536307779.859, 38
1536307780.848, 35
1536307781.860, 38
1536307782.833, 41
1536307783.843, 44
1536307784.857, 50
1536307785.845, 48
1536307786.860, 38
1536307787.839, 30
1536307788.845, 14
1536307789.855, 13
1536307790.860, 16
1536307791.847, 23
1536307792.848, 27
1536307793.841, 23
1536307794.827, 35
1536307795.842, 38
1536307796.860, 38
1536307797.832, 56
1536307798.846, 44
1536307799.858, 41
1536307800.840, 48
1536307801.860, 44
1536307802.833, 44
1536307803.860, 43
1536307804.832, 40
1536307805.849, 30
1536307806.843, 27
1536307807.844, 21
1536307808.861, 30
1536307809.854, 47
1536307810.838, 51
1536307811.874, 57
1536307812.838, 43
1536307813.907, 27
1536307814.829, 13
1536307815.844, 16
1536307816.833, 20
1536307817.845, 23
1536307818.862, 35
1536307819.846, 40
1536307820.857, 50
1536307821.859, 51
1536307822.857, 47
1536307823.860, 38
1536307824.845, 35
1536307825.839, 17
1536307826.847, 20
1536307827.847, 20
1536307828.862, 17
1536307829.845, 30
1536307830.842, 47
1536307831.828, 34
1536307832.843, 27
1536307833.860, 24
1536307834.845, 8
1536307835.839, 16
1536307836.839, 26
1536307837.855, 37
1536307838.855, 37
1536307839.862, 38
1536307840.847, 47
1536307841.830, 38
1536307842.860, 35
1536307843.831, 37
1536307844.834, 21
1536307845.858, 14
1536307846.840, 20
1536307847.845, 23
1536307848.854, 38
1536307849.844, 50
