Time, PoorSignal, Attention, Meditation
1536307663.850, 0, 57, 34
1536307664.861, 0, 78, 26
1536307665.865, 0, 91, 30
1536307666.843, 0, 94, 23
1536307667.865, 0, 94, 24
1536307668.863, 0, 78, 35
1536307669.872, 0, 56, 44
1536307670.834, 0, 53, 44
1536307671.865, 0, 43, 38
1536307672.831, 0, 57, 34
1536307673.845, 0, 60, 26
1536307674.847, 0, 51, 30
1536307675.841, 0, 48, 37
1536307676.845, 0, 38, 41
1536307677.856, 0, 54, 41
1536307678.865, 0, 83, 50
1536307679.859, 0, 97, 60
1536307680.848, 0, 90, 47
1536307681.862, 0, 78, 48
1536307682.832, 0, 66, 57
1536307683.848, 0, 57, 40
1536307684.848, 0, 78, 47
1536307685.843, 0, 81, 54
1536307686.849, 0, 94, 48
1536307687.844, 0, 100, 51
1536307688.846, 0, 94, 44
1536307689.862, 0, 100, 38
1536307690.845, 0, 94, 29
1536307691.857, 0, 96, 26
1536307692.842, 0, 93, 20
1536307693.858, 0, 93, 10
1536307694.858, 0, 100, 17
1536307695.862, 0, 100, 27
1536307696.862, 0, 100, 38
1536307697.845, 0, 100, 60
1536307698.849, 0, 91, 56
1536307699.832, 0, 81, 53
1536307700.846, 0, 70, 57
1536307701.857, 0, 60, 34
1536307702.846, 0, 70, 23
1536307703.857, 0, 74, 27
1536307704.843, 0, 90, 35
1536307705.843, 0, 100, 40
1536307706.863, 0, 100, 48
1536307707.841, 0, 93, 51
1536307708.860, 0, 81, 43
1536307709.846, 0, 66, 43
1536307710.878, 0, 66, 48
1536307711.832, 0, 60, 35
1536307712.847, 0, 61, 24
1536307713.855, 0, 70, 27
1536307714.849, 0, 77, 26
1536307715.847, 0, 87, 37
1536307716.846, 0, 97, 43
1536307717.875, 0, 96, 41
1536307718.860, 0, 93, 41
1536307719.841, 0, 87, 34
1536307720.863, 0, 83, 43
1536307721.849, 0, 75, 44
1536307722.840, 0, 83, 44
1536307723.832, 0, 93, 60
1536307724.841, 0, 90, 63
1536307725.876, 0, 84, 57
1536307726.856, 0, 78, 38
1536307727.843, 0, 56, 17
1536307728.857, 0, 30, 1
1536307729.845, 0, 53, 3
1536307730.855, 0, 57, 16
1536307731.850, 0, 75, 35
1536307732.864, 0, 100, 41
1536307733.829, 0, 84, 38
1536307734.847, 0, 80, 29
1536307735.847, 0, 77, 34
1536307736.858, 0, 88, 34
1536307737.862, 0, 81, 40
1536307738.861, 0, 84, 50
1536307739.844, 0, 91, 40
1536307740.880, 0, 81, 40
1536307741.846, 0, 97, 43
1536307742.856, 0, 88, 40
1536307743.836, 0, 78, 51
1536307744.845, 0, 60, 43
1536307745.847, 0, 53, 41
1536307746.840, 0, 53, 48
1536307747.847, 0, 57, 29
1536307748.855, 0, 74, 40
1536307749.859, 0, 75, 35
1536307750.856, 0, 87, 35
1536307751.862, 0, 87, 44
1536307752.857, 0, 84, 43
1536307753.834, 0, 84, 43
1536307754.839, 0, 80, 40
1536307755.832, 0, 94, 35
1536307756.849, 0, 96, 35
1536307757.847, 0, 97, 41
1536307758.861, 0, 100, 43
1536307759.860, 0, 87, 44
1536307760.864, 0, 78, 43
1536307761.860, 0, 64, 34
1536307762.854, 0, 60, 37
1536307763.845, 0, 44, 20
1536307764.859, 0, 54, 23
1536307765.843, 0, 56, 27
1536307766.860, 0, 54, 23
1536307767.861, 0, 70, 34
1536307768.839, 0, 64, 38
1536307769.860, 0, 66, 53
1536307770.827, 0, 75, 53
1536307771.845, 0, 75, 57
1536307772.864, 0, 83, 53
1536307773.848, 0, 90, 50
1536307774.861, 0, 96, 40
1536307775.833, 0, 84, 43
1536307776.843, 0, 77, 48
1536307777.854, 0, 74, 34
1536307778.839, 0, 64, 43
1536307779.859, 0, 64, 38
1536307780.848, 0, 74, 35
1536307781.860, 0, 77, 38
1536307782.833, 0, 64, 41
1536307783.843, 0, 74, 44
1536307784.857, 0, 64, 50
1536307785.845, 0, 51, 48
1536307786.860, 0, 54, 38
1536307787.839, 0, 40, 30
1536307788.845, 0, 26, 14
1536307789.855, 0, 27, 13
1536307790.860, 0, 21, 16
1536307791.847, 0, 35, 23
1536307792.848, 0, 35, 27
1536307793.841, 0, 37, 23
1536307794.827, 0, 47, 35
1536307795.842, 0, 44, 38
1536307796.860, 0, 50, 38
1536307797.832, 0, 57, 56
1536307798.846, 0, 51, 44
1536307799.858, 0, 57, 41
1536307800.840, 0, 67, 48
1536307801.860, 0, 70, 44
1536307802.833, 0, 78, 44
1536307803.860, 0, 77, 43
1536307804.832, 0, 84, 40
1536307805.849, 0, 70, 30
1536307806.843, 0, 69, 27
1536307807.844, 0, 81, 21
1536307808.861, 0, 74, 30
1536307809.854, 0, 87, 47
1536307810.838, 0, 80, 51
1536307811.874, 0, 64, 57
1536307812.838, 0, 74, 43
1536307813.907, 0, 77, 27
1536307814.829, 0, 66, 13
1536307815.844, 0, 64, 16
1536307816.833, 0, 41, 20
1536307817.845, 0, 29, 23
1536307818.862, 0, 54, 35
1536307819.846, 0, 57, 40
1536307820.857, 0, 64, 50
1536307821.859, 0, 77, 51
1536307822.857, 0, 75, 47
1536307823.860, 0, 81, 38
1536307824.845, 0, 78, 35
1536307825.839, 0, 75, 17
1536307826.847, 0, 64, 20
1536307827.847, 0, 67, 20
1536307828.862, 0, 70, 17
1536307829.845, 0, 66, 30
1536307830.842, 0, 64, 47
1536307831.828, 0, 50, 34
1536307832.843, 0, 44, 27
1536307833.860, 0, 37, 24
1536307834.845, 0, 26, 8
1536307835.839, 0, 24, 16
1536307836.839, 0, 29, 26
1536307837.855, 0, 34, 37
1536307838.855, 0, 40, 37
1536307839.862, 0, 38, 38
1536307840.847, 0, 40, 47
1536307841.830, 0, 34, 38
1536307842.860, 0, 47, 35
1536307843.831, 0, 60, 37
1536307844.834, 0, 60, 21
1536307845.858, 0, 69, 14
1536307846.840, 0, 54, 20
1536307847.845, 0, 57, 23
1536307848.854, 0, 48, 38
1536307849.844, 0, 44, 50
1536307850.847, 0, 44, 51
1536307851.844, 0, 41, 53
1536307852.854, 0, 50, 50
1536307853.831, 0, 48, 57
1536307854.858, 0, 54, 60
1536307855.826, 0, 63, 50
1536307856.838, 0, 64, 48
1536307857.847, 0, 70, 30
1536307858.831, 0, 70, 34
1536307859.843, 0, 60, 30
1536307860.860, 0, 51, 24
1536307861.846, 0, 66, 27
1536307862.858, 0, 57, 26
1536307863.841, 0, 60, 51
1536307864.838, 0, 75, 56
1536307865.860, 0, 64, 61
1536307866.837, 0, 88, 51
1536307867.854, 0, 100, 26
1536307868.838, 0, 100, 11
1536307869.874, 0, 96, 13
1536307870.861, 0, 83, 16
1536307871.837, 0, 67, 21
1536307872.846, 0, 63, 30
1536307873.843, 0, 61, 21
1536307874.858, 0, 66, 21
1536307875.844, 0, 60, 11
1536307876.843, 0, 66, 1
1536307877.858, 0, 77, 1
