Time, Value
1545056376.570, 0
1545056377.572, 0
1545056378.570, 0
1545056379.586, 0
1545056380.553, 0
1545056381.569, 0
1545056382.585, 0
1545056383.574, 0
1545056384.570, 0
1545056385.583, 0
1545056386.566, 0
1545056387.589, 0
1545056388.565, 0
1545056389.575, 0
1545056390.569, 0
1545056391.570, 0
1545056392.553, 0
1545056393.586, 0
1545056394.585, 0
1545056395.585, 0
1545056396.585, 0
1545056397.589, 0
1545056398.574, 0
1545056399.579, 0
1545056400.568, 0
1545056401.573, 0
1545056402.571, 0
1545056403.572, 0
1545056404.570, 0
1545056405.569, 0
1545056406.567, 0
1545056407.585, 0
1545056408.573, 0
1545056409.585, 0
1545056410.572, 0
1545056411.568, 0
1545056412.571, 0
1545056413.572, 0
1545056414.580, 0
1545056415.565, 0
1545056416.586, 0
1545056417.555, 0
1545056418.584, 0
1545056419.582, 0
1545056420.565, 0
1545056421.587, 0
1545056422.574, 0
1545056423.586, 0
1545056424.573, 0
1545056425.569, 0
1545056426.589, 0
1545056427.558, 0
1545056428.570, 0
1545056429.571, 0
1545056430.574, 0
1545056431.586, 0
1545056432.559, 0
1545056433.570, 0
1545056434.570, 0
1545056435.567, 0
1545056436.573, 0
1545056437.568, 0
1545056438.583, 0
1545056439.572, 0
1545056440.568, 0
1545056441.577, 0
1545056442.565, 0
1545056443.574, 0
1545056444.559, 0
1545056445.573, 0
1545056446.584, 0
1545056447.575, 0
1545056448.583, 0
1545056449.569, 0
1545056450.570, 0
1545056451.585, 0
1545056452.570, 0
1545056453.588, 0
1545056454.568, 0
1545056455.585, 0
1545056456.580, 0
1545056457.575, 0
1545056458.586, 0
1545056459.573, 0
1545056460.589, 0
1545056461.573, 0
1545056462.575, 0
1545056463.558, 0
1545056464.572, 0
1545056465.587, 0
1545056466.581, 0
1545056467.574, 0
1545056468.585, 0
1545056469.557, 0
1545056470.601, 0
1545056471.572, 0
1545056472.568, 0
1545056473.574, 0
1545056474.566, 0
1545056475.572, 0
1545056476.566, 0
1545056477.572, 0
1545056478.550, 0
1545056479.567, 0
1545056480.589, 0
1545056481.585, 0
1545056482.574, 0
1545056483.559, 0
1545056484.565, 0
1545056485.603, 0
1545056486.559, 0
1545056487.569, 0
1545056488.558, 0
1545056489.570, 0
1545056490.560, 0
1545056491.570, 0
1545056492.582, 0
1545056493.559, 0
1545056494.573, 0
1545056495.585, 0
1545056496.596, 0
1545056497.583, 0
1545056498.566, 0
1545056499.571, 0
1545056500.555, 0
1545056501.575, 0
1545056502.555, 0
1545056503.571, 0
1545056504.564, 0
1545056505.558, 0
1545056506.564, 0
1545056507.588, 0
1545056508.569, 0
1545056509.585, 0
1545056510.559, 0
1545056511.581, 0
1545056512.557, 0
1545056513.565, 0
1545056514.586, 0
1545056515.574, 0
1545056516.574, 0
1545056517.581, 0
1545056518.568, 0
1545056519.587, 0
1545056520.570, 0
1545056521.580, 0
1545056522.565, 0
1545056523.568, 0
1545056524.582, 0
1545056525.559, 0
1545056526.585, 0
1545056527.589, 0
1545056528.566, 0
1545056529.585, 0
1545056530.559, 0
1545056531.589, 0
1545056532.558, 0
1545056533.566, 0
1545056534.552, 0
1545056535.570, 0
1545056536.570, 0
1545056537.588, 0
1545056538.571, 0
1545056539.580, 0
1545056540.565, 0
1545056541.583, 0
1545056542.555, 0
1545056543.570, 0
1545056544.557, 0
1545056545.565, 0
1545056546.573, 0
1545056547.565, 0
1545056548.584, 0
1545056549.558, 0
1545056550.586, 0
1545056551.580, 0
1545056552.570, 0
1545056553.568, 0
1545056554.558, 0
1545056555.572, 0
1545056556.600, 0
1545056557.572, 0
1545056558.589, 0
1545056559.551, 0
1545056560.568, 0
1545056561.550, 0
1545056562.573, 0
1545056563.585, 0
1545056564.571, 0
1545056565.567, 0
1545056566.580, 0
1545056567.583, 0
1545056568.589, 0
1545056569.584, 0
1545056570.588, 0
1545056571.571, 0
1545056572.559, 0
1545056573.553, 0
1545056574.559, 0
1545056575.566, 0
1545056576.572, 0
1545056577.564, 0
1545056578.575, 0
1545056579.567, 0
1545056580.586, 0
1545056581.557, 0
1545056582.587, 0
1545056583.552, 0
1545056584.567, 0
1545056585.569, 0
1545056586.570, 0
1545056587.569, 0
1545056588.581, 0
1545056589.571, 0
1545056590.573, 0
1545056591.559, 0
1545056592.630, 0
1545056593.570, 0
1545056594.573, 0
1545056595.581, 0
1545056596.567, 0
1545056597.584, 0
1545056598.559, 0
1545056599.569, 0
1545056600.584, 0
1545056601.574, 0
1545056602.580, 0
1545056603.565, 0
1545056604.572, 0
1545056605.558, 0
1545056606.573, 0
1545056607.587, 0
1545056608.569, 0
1545056609.566, 0
1545056610.555, 0
1545056611.571, 0
1545056612.585, 0
1545056613.573, 0
1545056614.570, 0
1545056615.554, 0
1545056616.568, 0
1545056617.587, 0
1545056618.571, 0
1545056619.587, 0
1545056620.549, 0
1545056621.571, 0
1545056622.559, 0
1545056623.566, 0
1545056624.570, 0
1545056625.573, 0
1545056626.575, 0
1545056627.583, 0
1545056628.568, 0
1545056629.569, 0
1545056630.554, 0
1545056631.568, 0
1545056632.551, 0
1545056633.566, 0
1545056634.569, 0
1545056635.574, 0
1545056636.573, 0
1545056637.581, 0
1545056638.565, 0
1545056639.573, 0
1545056640.559, 0
1545056641.571, 0
1545056642.556, 0
1545056643.559, 0
1545056644.569, 0
1545056645.565, 0
1545056646.565, 0
1545056647.558, 0
1545056648.572, 0
1545056649.589, 0
1545056650.566, 0
1545056651.571, 0
1545056652.559, 0
1545056653.570, 0
1545056654.558, 0
