id,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,difference_BVPpeaks_amp,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean,HR_variance,valence
1.1,3.2257313160996,324.767921532551,0,0,0,0,-3.70166666666665,0.20551091954023,-2.76860452060758,3.84802650682151,0.322130708761685,10.599321460633,34.6322385613936,negative
1.2,16.4176330613598,414.391810489651,0,0,0,0,-24.3366666666667,-1.97751685823755,-14.5817018190473,10.7699569542128,2.89297028371969,22.3156067366711,43.0798278168511,negative
1.3,37.9578675802962,335.141923924346,0,0,0,0,5.29133333333334,0.127798697318006,-9.20423326464235,7.6006596421334,2.04493243912139,14.5229098883078,38.003298210667,positive
1.4,-131.221605190493,2493.22180486036,22.4442199702713,39.3720788417458,30.9081494060085,61.8162988120171,15.1423333333333,0.185484252873563,-6.61206325360286,16.3772859751628,16.1305840567342,16.6239878935914,32.7545719503255,negative
1.5,90.8446488662481,431.296892937063,0,0,0,0,10.7443333333333,0.156195363984674,-7.29549435551648,9.47922622265649,5.8338627363206,15.5590579457079,56.875357335939,negative
1.6,132.79247680656,342.241782096969,7.56099820204869,7.56099820204869,7.56099820204869,7.56099820204869,-7.27166666666666,-0.000466858237549467,-7.44223006329809,8.46098118642013,4.8306082680443,12.1833533618766,33.8439247456805,negative
2.1,-10.3873728456179,200.866333320036,0,0,0,0,-1.77199999999999,4.95158559386974,6.70595984299913,1.43144843509834,-0.00180755833034335,3.05041195326411,12.883035915885,negative
2.2,16.920962436617,456.267470930383,0,0,0,0,-2.38499999999999,4.76201559386974,2.46377551497496,1.39429091052403,0.308712884423391,3.79147989325445,13.9429091052403,negative
2.3,28.3058467116122,483.789597636794,3.50818935066603,3.50818935066603,3.50818935066603,3.50818935066603,-3.74799999999999,5.01055448275863,10.8467121464844,0.777166823791473,-0.130665432137029,2.21022257188401,11.6575023568721,negative
2.4,40.2755421997482,251.288263723729,2.75930982579534,2.75930982579534,2.75930982579534,2.75930982579534,-2.133,5.04386003831418,-0.497877509153238,1.53625222298828,0.539395511657738,2.572826826568,19.9712788988476,negative
2.5,30.4289746668808,233.585682595768,0,0,0,0,-6.59699999999999,4.7430022605364,-0.42489516540048,1.19874024927149,-0.0212714050032414,2.44468983597142,15.5836232405293,negative
2.6,54.1416845323615,174.908319196375,0,0,0,0,-10.942,5.01138559386974,4.83809595289898,0.817046452658309,0.151920786225046,2.13813425087328,10.621603884558,positive
3.1,45.8868922648297,76.2938570362877,0.426823085227251,1.28710496777738,0.856964026502313,1.71392805300463,-2.47533333333334,0.130024367816092,-122.889247671469,24.5010579548729,5.31502454352196,56.208562387718,245.010579548729,neutral
3.2,39.0160354000302,89.1613265625868,0,0,0,0,-15.6103333333333,-0.212092298850573,-68.2159260297368,26.3423451119837,9.47544078659764,54.3775844207179,237.081106007854,negative
3.3,24.2619718283,205.584117534608,0,0,0,0,-8.46333333333334,-0.424268965517244,-43.1383707072801,23.8056263113421,5.26505513134979,40.7754169023941,214.250636802079,positive
3.4,24.8875668300598,194.164290031189,3.10550250024782,3.10550250024782,3.10550250024782,3.10550250024782,-45.8103333333333,-0.0208922988505732,-36.1546273013856,31.6219151066206,18.6309475279212,39.489167218703,126.487660426482,positive
3.5,22.4849652770434,266.139495573839,0,0,0,0,-4.63133333333334,-0.0857089655172402,-18.8348356141447,15.14752428383,5.39337164655734,28.8635727094005,151.4752428383,positive
3.6,-580.451589654631,6415.04351869928,0,0,0,0,-33.0783333333333,-0.277718965517243,-34.5534033856345,23.1047521831384,10.4748290300411,41.2016991716653,115.523760915692,positive
4.1,-29.6174544293813,146.230784849159,1.52114433702055,1.52114433702055,1.52114433702055,1.52114433702055,28.1516666666667,0.318225555555558,-56.6767354992239,30.998786184007,15.0591057972349,54.4010959728196,216.991503288049,neutral
4.2,-51.034778364501,296.20769447109,2.64351293465979,2.64351293465979,2.64351293465979,2.64351293465979,9.27566666666665,-4.50380999999999,-22.2797329131432,19.1156439428474,2.32544540397719,50.4682747774447,229.387727314169,negative
4.3,-122.853516958329,1285.13505143482,0,0,0,0,21.1846666666667,0.114817777777782,-28.6357018206042,37.989511488157,28.2155853730915,44.0235115135548,113.968534464471,neutral
4.4,13.7846955973425,178.57599469326,1.94790192162225,1.94790192162225,1.94790192162225,1.94790192162225,30.4006666666667,0.654684444444446,-52.5485244912934,77.645386779948,37.0302027928105,116.830219112713,310.581547119792,negative
4.5,-25.6158650679103,266.939322525301,0,0,0,0,-4.50533333333334,0.486484444444447,-52.6480464217449,39.9890759321379,16.9363885224193,65.6036514645278,199.945379660689,negative
4.6,-202.328338469322,1996.78407876662,0,0,0,0,18.5666666666667,0.491808888888891,-102.890315842788,39.888691744474,7.99776710617429,58.5931199664882,279.220842211318,neutral
5.1,0.432058759110184,27.7215880585044,0.220822265848246,0.220822265848246,0.220822265848246,0.220822265848246,-27.635,1.88399291187739,30.0263920953682,0.271202428973962,0.113533139567623,0.546418102016086,3.79683400563547,neutral
5.2,5.22116836777965,8.57483422121068,0.0966586170321446,0.156531010279107,0.126594813655626,0.253189627311251,-26.072,1.82378068965517,27.0723530521494,0.345228935856338,0.221392053559187,0.511558467154598,5.17843403784507,negative
5.3,8.2074192368688,1.69296161199537,0,0,0,0,-30.285,1.80541513409962,28.3256701535021,0.532626806648565,0.195533374745085,1.27641089331684,7.98940209972848,negative
5.4,15.3258119827161,2.11358365499958,0,0,0,0,-27.422,1.85678068965517,25.6202131444763,0.470921947507894,0.102320084152659,0.794783465493125,7.06382921261841,negative
5.5,21.9700054649137,23.6366749821339,0.162179467831695,0.162179467831695,0.162179467831695,0.162179467831695,-25.762,1.85460291187739,29.2535061107353,0.544075238153873,0.407284679724281,0.740548891343194,3.80852666707711,negative
5.6,33.4077593437673,5.16143404762332,0.055752105623823,0.129369911273851,0.0976032728592007,0.292809818577602,-24.014,1.8863940229885,26.8821505260485,0.498565561673766,0.210636673875446,0.927204310393659,7.47848342510648,negative
6.1,-33.6822625033127,257.993579172358,0,0,0,0,-2.88500000000001,-0.277048927203067,-11.6524509554182,3.92185460649849,1.69055442557562,7.15490015215431,31.3748368519879,neutral
6.2,-13.1177763886437,101.227192714069,1.44483424972417,1.44483424972417,1.44483424972417,1.44483424972417,-0.683999999999997,-3.05804114942528,-35.2041096056062,15.1067273841881,4.43120033693268,36.5830798864881,60.4269095367523,negative
6.3,-11.6335723434782,133.82981815199,0.791040461896348,1.34436551496405,1.0677029884302,2.13540597686039,-2.098,0.15969662835249,-5.57652124762421,3.10568183240009,1.54882343971567,4.96628616036046,12.4227273296004,negative
6.4,-8.09181434636276,119.961653101034,1.14569683284958,1.61403832697681,1.3798675799132,2.7597351598264,-2.629,0.243231072796934,-9.52257661224824,3.52424184831077,-0.595627998513132,8.00220495892575,42.2909021797292,negative
6.5,-35.9369670507485,202.22182414066,2.192131064038,2.192131064038,2.192131064038,2.192131064038,-2.873,-0.472942260536399,-21.6551728154353,7.29796628498251,1.55652621068632,25.6826319268897,36.4898314249126,neutral
6.6,-8.39802820101178,279.729934853938,0,0,0,0,-9.232,-0.3727522605364,-42.5777623222406,16.0940025434547,3.82987068315731,25.2456280538215,112.658017804183,neutral
7.1,-53.1881394597688,73.666011486691,0.764769599840832,0.764769599840832,0.764769599840832,0.764769599840832,17.3516666666667,0.719460651340994,-18.6619260046882,30.415917025648,6.22054484760904,68.9511648571919,304.15917025648,neutral
7.2,-62.2674776304736,85.0968934463876,0.947655392086418,1.02377484076668,0.985715116426549,1.9714302328531,18.2366666666667,-0.596256015325669,-32.7729637663282,35.5061643986392,7.88578802814766,62.2156512585585,426.07397278367,neutral
